Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;76515294-1;SINTONIZA, PERSONAS Y ORGANIZACIÓN SPA;400;03/10/2018;03/10/2018 17:46:34;;;0;132353;25147;157500;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;77768699;;;;;
2;33;Del Giro;88502900-0;BAT CHILE S.A.;401;03/10/2018;03/10/2018 17:57:58;;;0;75630;14370;90000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;77768699;;;;;
3;33;Del Giro;60908000-0;JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA;402;03/10/2018;03/10/2018 18:04:11;;;0;100319;19061;119380;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;77768699;;;;;
4;33;Del Giro;90299000-3;CIA NACIONAL DE TELEFONOS TELEFONICA DEL SUR S A;403;03/10/2018;03/10/2018 18:14:42;05/10/2018 12:50:15;;0;112500;21375;133875;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;77768699;;;;;
5;33;Del Giro;96572360-9;COMERCIAL KAUFMANN S A;404;03/10/2018;03/10/2018 18:29:00;;;0;462185;87815;550000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;77768699;;;;;
6;33;Del Giro;61601000-K;SUBSECRETARIA DE SALUD PUBLICA;405;03/10/2018;03/10/2018 18:35:13;;;0;263435;50053;313488;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;77768699;;;;;
7;33;Del Giro;71918700-5;UNIVERSIDAD CATOLICA DE TEMUCO;406;03/10/2018;03/10/2018 18:40:30;11/10/2018 12:40:58;;0;127731;24269;152000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;77768699;;;;;
8;33;Del Giro;90299000-3;CIA NACIONAL DE TELEFONOS TELEFONICA DEL SUR S A;407;04/10/2018;04/10/2018 17:30:49;08/10/2018 17:19:20;;0;125000;23750;148750;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;77768699;;;;;
9;33;Del Giro;90299000-3;CIA NACIONAL DE TELEFONOS TELEFONICA DEL SUR S A;408;04/10/2018;04/10/2018 17:51:37;11/10/2018 11:32:34;;0;25000;4750;29750;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;77768699;;;;;
10;33;Del Giro;90299000-3;CIA NACIONAL DE TELEFONOS TELEFONICA DEL SUR S A;409;08/10/2018;08/10/2018 15:53:07;10/10/2018 16:47:58;;0;137500;26125;163625;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;77768699;;;;;
