Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;208;16/10/2018;16/10/2018 14:36:25;;;0;388655;73844;462499;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;59525103;;;;;
2;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;209;16/10/2018;16/10/2018 14:38:03;;;0;63855;12132;75987;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;59525103;;;;;
3;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;210;16/10/2018;16/10/2018 14:39:35;;;0;1191739;226430;1418169;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;59525103;;;;;
4;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;211;16/10/2018;16/10/2018 14:41:16;;;0;770403;146377;916780;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;59525103;;;;;
5;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;212;16/10/2018;16/10/2018 14:42:46;;;0;1462580;277890;1740470;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;59525103;;;;;
6;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;213;16/10/2018;16/10/2018 14:44:52;;;0;352900;67051;419951;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;59525103;;;;;
7;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;214;16/10/2018;16/10/2018 14:46:40;;;0;1300120;247023;1547143;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;59525103;;;;;
8;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;215;16/10/2018;16/10/2018 14:48:14;;;0;334327;63522;397849;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;59525103;;;;;
9;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;216;16/10/2018;16/10/2018 14:49:35;;;0;75386;14323;89709;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;59525103;;;;;
10;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;217;16/10/2018;16/10/2018 14:51:49;;;0;1235114;234672;1469786;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;59525103;;;;;
11;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;218;16/10/2018;16/10/2018 14:53:50;;;0;390048;74109;464157;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;59525103;;;;;
12;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;219;16/10/2018;16/10/2018 14:55:44;;;0;1255919;238625;1494544;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;59525103;;;;;
13;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;220;16/10/2018;16/10/2018 14:57:29;;;0;371474;70580;442054;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;59525103;;;;;
14;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;221;16/10/2018;16/10/2018 14:58:53;;;0;75386;14323;89709;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;59525103;;;;;
15;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;222;16/10/2018;16/10/2018 15:01:18;;;0;1218863;231584;1450447;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;59525103;;;;;
16;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;223;16/10/2018;16/10/2018 15:07:04;;;0;37147;7058;44205;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;59525103;;;;;
17;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;224;16/10/2018;16/10/2018 15:10:45;;;0;18574;3529;22103;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;59525103;;;;;
