Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;69200400-0;I MUNICIPALIDAD DE MARIQUINA;824;02/10/2018;02/10/2018 13:10:54;;;0;29412;5588;35000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;64251835;;;;;
2;33;Del Giro;69200400-0;I MUNICIPALIDAD DE MARIQUINA;825;02/10/2018;02/10/2018 13:27:06;;;0;36000;6840;42840;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;64251835;;;;;
3;33;Del Giro;69200400-0;I MUNICIPALIDAD DE MARIQUINA;826;02/10/2018;02/10/2018 13:44:31;;;0;126050;23950;150000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;64251835;;;;;
4;33;Del Giro;82733800-1;FUND DEL MAGISTERIO DE LA ARAUCANIA;830;03/10/2018;03/10/2018 13:47:14;;;0;61933;11767;73700;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;64251835;;;;;
5;33;Del Giro;76415317-0;P & P INGENIERIA TERMICA SPA;831;03/10/2018;03/10/2018 14:01:44;;;0;7563;1437;9000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;64251835;;;;;
6;33;Del Giro;69200400-0;I MUNICIPALIDAD DE MARIQUINA;833;08/10/2018;08/10/2018 12:00:36;;;0;341487;64883;406370;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;64251835;;;;;
7;33;Del Giro;69200400-0;I MUNICIPALIDAD DE MARIQUINA;834;08/10/2018;08/10/2018 12:13:55;;;0;42017;7983;50000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;64251835;;;;;
8;33;Del Giro;76131659-1;SOCIEDAD DE INVERSIONES SETRA LIMITADA;835;11/10/2018;11/10/2018 12:19:54;;;0;29412;5588;35000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;64251835;;;;;
9;33;Del Giro;80326500-3;OXIQUIM S A;836;11/10/2018;11/10/2018 12:37:30;;;0;22689;4311;27000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;64251835;;;;;
10;33;Del Giro;96781620-5;BANCOESTADO MICROEMPRESA S A ASESORIAS FINANCIERAS;837;12/10/2018;12/10/2018 14:20:16;;;0;126050;23950;150000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;64251835;;;;;
