Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;69251300-2;I MUNICIPALIDAD DE PRIMAVERA;51;13/10/2018;13/10/2018 10:33:09;;;0;204202;38798;243000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;2325194;;;;;
2;33;Del Giro;78137730-9;CONSTRUCTORA VILICIC S A;52;14/10/2018;14/10/2018 10:20:59;16/10/2018 09:09:04;;0;18487;3513;22000;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;2325194;;;;;
3;34;Del Giro;61979750-7;SUBSIDIO NACIONAL TRANSPORTE PUBLICO;404;03/10/2018;03/10/2018 08:03:24;;;7249000;0;0;7249000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;2325194;;;;;
4;34;Del Giro;61312000-9;INSTITUTO DE INVESTIGACIONES AGROPECUARIAS;405;03/10/2018;03/10/2018 08:15:16;;;240000;0;0;240000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;2325194;;;;;
5;34;Del Giro;60511121-1;GOBERNACION PROVINCIAL DE MAGALLANES;406;03/10/2018;03/10/2018 08:27:19;;;260000;0;0;260000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;2325194;;;;;
6;34;Del Giro;69251200-6;I MUNICIPALIDAD DE LAGUNA BLANCA;408;03/10/2018;03/10/2018 14:20:43;;;280000;0;0;280000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;2325194;;;;;
7;34;Del Giro;76200215-9;SOCIEDAD DE RESPONSABILIDAD LIMITADA TRANSPORTES RUIZ Y COMPANIA LIMIT;409;08/10/2018;08/10/2018 13:14:07;;;3263333;0;0;3263333;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;2325194;;;;;
8;34;Del Giro;79800310-0;TURISMO COMAPA LTDA;410;09/10/2018;09/10/2018 08:20:04;;;88000;0;0;88000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;2325194;;;;;
9;34;Del Giro;70083600-2;CONGREGACION INSTITUTO HIJAS DE MARIA AUXILIADORA;411;14/10/2018;14/10/2018 10:00:24;;;165000;0;0;165000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;2325194;;;;;
10;34;Del Giro;70083600-2;CONGREGACION INSTITUTO HIJAS DE MARIA AUXILIADORA;413;17/10/2018;17/10/2018 15:12:08;;;57000;0;0;57000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;2325194;;;;;
11;34;Del Giro;79800310-0;TURISMO COMAPA LTDA;415;17/10/2018;17/10/2018 15:21:18;;;1550000;0;0;1550000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;2325194;;;;;
12;34;Del Giro;79800310-0;TURISMO COMAPA LTDA;416;17/10/2018;17/10/2018 15:27:24;;;250000;0;0;250000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;2325194;;;;;
13;34;Del Giro;74115000-K;AGRUPACION AMIGOS DE LA CUECA;417;23/10/2018;23/10/2018 11:06:13;;;3000000;0;0;3000000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;2325194;;;;;
