Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;34;Del Giro;85896100-9;SERVICIOS EQUIFAX CHILE LTDA.;10323;01/10/2018;01/10/2018 17:21:21;;;15926201;0;0;15926201;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;3;0;0;;;;0;;;;;
2;34;Del Giro;76360993-6;GC RENT CHILE SPA;10325;02/10/2018;02/10/2018 18:13:28;;;500000;0;0;500000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;3;0;0;;;;0;;;;;
3;34;Del Giro;76360993-6;GC RENT CHILE SPA;10324;02/10/2018;02/10/2018 18:15:58;;;1350000;0;0;1350000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;3;0;0;;;;0;;;;;
4;34;Del Giro;89810600-4;Inversiones Septima Region Ltda;10326;04/10/2018;04/10/2018 18:06:11;;;2744842;0;0;2744842;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;3;0;0;;;;0;;;;;
5;34;Del Giro;96645790-2;SOCOFIN S.A.;10327;08/10/2018;08/10/2018 16:06:31;;;13984296;0;0;13984296;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;3;0;0;;;;0;;;;;
6;34;Del Giro;96645790-2;SOCOFIN S.A.;10328;08/10/2018;08/10/2018 17:19:43;;;12627765;0;0;12627765;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;0;;;;;
7;34;Del Giro;96645790-2;SOCOFIN S.A.;10329;08/10/2018;08/10/2018 17:22:01;;;12527765;0;0;12527765;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;3;0;0;;;;0;;;;;
8;34;Del Giro;65127298-K;Corporacion Colegio Terraustral Oeste;10331;10/10/2018;10/10/2018 10:38:29;;;1275264;0;0;1275264;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;3;0;0;;;;0;;;;;
9;34;Del Giro;65121264-2;Corporacion de Fomento Aprende;10332;10/10/2018;10/10/2018 10:38:29;;;3108882;0;0;3108882;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;3;0;0;;;;0;;;;;
10;34;Del Giro;96547580-K;CEPECH S.A;10330;10/10/2018;10/10/2018 10:38:29;;;16705415;0;0;16705415;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;3;0;0;;;;0;;;;;
