Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;96707170-6;INGENIERIA DE SISTEMAS EN ALTA TECNOLOGIA S A;601;04/10/2018;04/10/2018 09:44:10;;;0;1721566;327098;2048664;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;74890445;;;;;
2;33;Del Giro;76412965-2;INVERSIONES CARMEUSE CHILE SPA;602;04/10/2018;04/10/2018 09:53:49;08/10/2018 07:45:38;;0;3730000;708700;4438700;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;74890445;;;;;
3;33;Del Giro;76412965-2;INVERSIONES CARMEUSE CHILE SPA;603;04/10/2018;04/10/2018 09:57:37;08/10/2018 07:45:37;;0;300000;57000;357000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;74890445;;;;;
4;33;Del Giro;76412965-2;INVERSIONES CARMEUSE CHILE SPA;604;04/10/2018;04/10/2018 17:14:59;08/10/2018 07:45:38;;0;300000;57000;357000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;74890445;;;;;
5;33;Del Giro;76412965-2;INVERSIONES CARMEUSE CHILE SPA;605;09/10/2018;09/10/2018 14:09:05;16/10/2018 08:47:25;;0;2325000;441750;2766750;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;74890445;;;;;
6;33;Del Giro;76412965-2;INVERSIONES CARMEUSE CHILE SPA;606;09/10/2018;09/10/2018 14:15:09;16/10/2018 08:47:24;;0;4631760;880034;5511794;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;74890445;;;;;
7;33;Del Giro;76412965-2;INVERSIONES CARMEUSE CHILE SPA;607;09/10/2018;09/10/2018 14:17:16;16/10/2018 08:47:25;;0;80000;15200;95200;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;74890445;;;;;
8;33;Del Giro;79554640-5;SONDAJES PERFOMAQ S A;608;11/10/2018;11/10/2018 10:52:54;;;0;1539520;292509;1832029;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;74890445;;;;;
9;33;Del Giro;79947100-0;SQM INDUSTRIAL S.A.;609;17/10/2018;17/10/2018 16:34:40;18/10/2018 15:59:44;;0;424620;80678;505298;0;0;0;0;0;-;0;0;0;0;52;1095;;;0;;0;2;0;0;0;;;;74890445;;;;;
10;33;Del Giro;78625910-K;CALIBRACIONES INDUSTRIALES S A;613;22/10/2018;22/10/2018 15:42:59;;23/10/2018 10:00:50;0;13264250;2520208;15784458;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;74890445;;;;;
11;33;Del Giro;79626800-K;S Q M SALAR S A;614;23/10/2018;23/10/2018 11:04:22;;;0;10060864;1911564;11972428;0;0;0;0;0;-;0;0;0;0;52;1097;;;0;;0;2;0;0;0;;;;74890445;;;;;
12;61;Del Giro;76412965-2;INVERSIONES CARMEUSE CHILE SPA;195;04/10/2018;04/10/2018 17:06:23;08/10/2018 07:45:37;;0;300000;57000;357000;0;0;0;0;0;-;0;0;0;0;33;603;;;0;;0;0;0;0;0;;;;74890445;;;;;
13;61;Del Giro;78625910-K;CALIBRACIONES INDUSTRIALES S A;196;23/10/2018;23/10/2018 12:43:04;;;0;13264250;2520208;15784458;0;0;0;0;0;-;0;0;0;0;33;613;;;0;;0;0;0;0;0;;;;74890445;;;;;
14;61;Del Giro;79947100-0;SQM INDUSTRIAL S.A.;197;24/10/2018;24/10/2018 15:31:58;;;0;2576;489;3065;0;0;0;0;0;-;0;0;0;0;33;609;;;0;;0;0;0;0;0;;;;74890445;;;;;
