Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;93834000-5;CENCOSUD S A;1157;04/10/2018;04/10/2018 18:46:53;;;0;108635;20641;129276;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75659752;;;;;
2;33;Del Giro;93834000-5;CENCOSUD S A;1158;16/10/2018;16/10/2018 11:20:05;;;0;1602367;304450;1906817;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75659752;;;;;
3;33;Del Giro;93834000-5;CENCOSUD S A;1159;16/10/2018;16/10/2018 11:24:39;;;0;1632120;310103;1942223;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75659752;;;;;
4;33;Del Giro;93834000-5;CENCOSUD S A;1160;16/10/2018;16/10/2018 11:27:19;;;0;1446241;274786;1721027;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75659752;;;;;
5;33;Del Giro;93834000-5;CENCOSUD S A;1161;16/10/2018;16/10/2018 11:35:10;;22/10/2018 17:46:33;0;1698132;322645;2020777;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75659752;;;;;
6;33;Del Giro;79580160-K;AGRICOLA AASA LIMITADA;1162;16/10/2018;16/10/2018 11:52:02;18/10/2018 12:42:03;;0;359175;68243;427418;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75659752;;;;;
7;33;Del Giro;99500840-8;CAT ADMINISTRADORA DE TARJETAS S.A.;1163;18/10/2018;18/10/2018 11:12:12;;;0;435240;82696;517936;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75659752;;;;;
8;33;Del Giro;99500840-8;CAT ADMINISTRADORA DE TARJETAS S.A.;1164;18/10/2018;18/10/2018 11:14:11;;;0;407382;77403;484785;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75659752;;;;;
9;33;Del Giro;99500840-8;CAT ADMINISTRADORA DE TARJETAS S.A.;1165;18/10/2018;18/10/2018 11:20:28;;;0;409314;77770;487084;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75659752;;;;;
10;33;Del Giro;99500840-8;CAT ADMINISTRADORA DE TARJETAS S.A.;1166;18/10/2018;18/10/2018 11:22:59;;;0;383004;72771;455775;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;75659752;;;;;
11;46;Del Giro;86359300-K;SOREPA S.A.;398195;02/10/2018;02/10/2018 17:04:07;;;0;70020;13304;70020;13304;;0;0;0;-;0;0;0;0;;;;;0;;0;1;0;0;0;;;;0;;47;13304;19;
12;46;Del Giro;86359300-K;SOREPA S.A.;401423;17/10/2018;17/10/2018 16:46:03;;;0;278960;53002;278960;53002;;0;0;0;-;0;0;0;0;;;;;0;;0;1;0;0;0;;;;0;;47;53002;19;
13;61;Del Giro;93834000-5;CENCOSUD S A;104;16/10/2018;16/10/2018 11:40:21;;;0;0;0;0;0;0;0;0;0;-;0;0;0;0;33;1160;;;0;;0;0;0;0;0;;;;75659752;;;;;
14;61;Del Giro;93834000-5;CENCOSUD S A;105;17/10/2018;17/10/2018 15:45:09;;22/10/2018 17:46:33;0;0;0;0;0;0;0;0;0;-;0;0;0;0;33;1161;;;0;;0;0;0;0;0;;;;75659752;;;;;
