Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;76154454-3;ORIETTA BENCINI COM Y DIST DE ART DEPOR;4651;01/10/2018;01/10/2018 17:38:38;;;0;197830;37588;235418;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;76005349;;;;;
2;33;Del Giro;96792430-K;SODIMAC S.A.;4652;01/10/2018;01/10/2018 17:38:38;;;0;26900;5111;32011;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;76005349;;;;;
3;33;Del Giro;96792430-K;SODIMAC S.A.;4653;01/10/2018;01/10/2018 17:38:38;;;0;24900;4731;29631;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;76005349;;;;;
4;33;Del Giro;76230989-0;JUAN GUTIERREZ EIRL;4654;01/10/2018;01/10/2018 17:38:38;;;0;136600;25954;162554;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;76005349;;;;;
5;33;Del Giro;76715804-1;LIFEPRO SPA;4655;01/10/2018;01/10/2018 17:38:38;;;0;139860;26573;166433;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;76005349;;;;;
6;33;Del Giro;76882982-9;COMERCIALIZADORA SANTA CLETA PAZ LIMITA;4656;02/10/2018;02/10/2018 17:56:27;;;0;57610;10946;68556;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;76005349;;;;;
7;33;Del Giro;76741792-6;ROTAM BIKES SPA;4657;02/10/2018;02/10/2018 17:56:27;;;0;70205;13339;83544;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;76005349;;;;;
8;33;Del Giro;77261280-K;FALABELLA RETAIL S.A.;4658;02/10/2018;02/10/2018 17:56:27;;;0;7900;1501;9401;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;76005349;;;;;
9;33;Del Giro;77261280-K;FALABELLA RETAIL S.A.;4659;02/10/2018;02/10/2018 17:56:27;;;0;37900;7201;45101;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;76005349;;;;;
10;33;Del Giro;77261280-K;FALABELLA RETAIL S.A.;4660;02/10/2018;02/10/2018 17:56:27;;;0;6990;1328;8318;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;76005349;;;;;
11;33;Del Giro;77261280-K;FALABELLA RETAIL S.A.;4661;02/10/2018;02/10/2018 17:56:27;;;0;21900;4161;26061;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;76005349;;;;;
12;33;Del Giro;77261280-K;FALABELLA RETAIL S.A.;4662;02/10/2018;02/10/2018 17:56:27;;;0;37900;7201;45101;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;76005349;;;;;
13;33;Del Giro;77261280-K;FALABELLA RETAIL S.A.;4663;02/10/2018;02/10/2018 17:56:27;;;0;37900;7201;45101;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;76005349;;;;;
14;33;Del Giro;77261280-K;FALABELLA RETAIL S.A.;4664;02/10/2018;02/10/2018 17:56:27;;;0;27890;5299;33189;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;76005349;;;;;
15;33;Del Giro;77261280-K;FALABELLA RETAIL S.A.;4665;02/10/2018;02/10/2018 17:56:27;;;0;22900;4351;27251;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;76005349;;;;;
16;33;Del Giro;76715804-1;LIFEPRO SPA;4666;02/10/2018;02/10/2018 17:56:27;;;0;56430;10722;67152;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;76005349;;;;;
17;33;Del Giro;76897353-9;GES DEPORTES SPA;4667;02/10/2018;02/10/2018 17:56:27;;;0;49230;9354;58584;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;76005349;;;;;
18;33;Del Giro;76434181-3;PRAXIS TALLER SPA;4668;03/10/2018;03/10/2018 18:13:41;;;0;257910;49003;306913;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;76005349;;;;;
19;33;Del Giro;76259717-9;SOCIEDAD DE INVERSIONES IBEROAMERICANA;4669;03/10/2018;03/10/2018 18:13:41;;;0;286800;54492;341292;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;76005349;;;;;
20;33;Del Giro;88779500-2;COMERCIAL DEL CARMEN LTDA;4670;03/10/2018;03/10/2018 18:13:41;;;0;94670;17987;112657;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;76005349;;;;;
21;33;Del Giro;76715804-1;LIFEPRO SPA;4671;03/10/2018;03/10/2018 18:13:41;;;0;545040;103558;648598;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;76005349;;;;;
22;33;Del Giro;76715804-1;LIFEPRO SPA;4672;03/10/2018;03/10/2018 18:13:41;;;0;45711;8685;54396;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;76005349;;;;;
