Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;88213400-8;EMPRESA CONSTRUCTORA DESCO S A;750;09/10/2018;09/10/2018 15:21:51;;;0;2022930;384357;2407287;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;76568753;;;;;
2;33;Del Giro;76230125-3;CONSTRUCTORA DE VICENTE EDIFICACION SA;751;09/10/2018;09/10/2018 23:10:48;10/10/2018 16:26:47;;0;3603050;684580;4287630;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;76568753;;;;;
3;33;Del Giro;76230125-3;CONSTRUCTORA DE VICENTE EDIFICACION SA;752;09/10/2018;09/10/2018 23:22:09;10/10/2018 16:26:03;;0;1515636;287971;1803607;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;76568753;;;;;
4;33;Del Giro;76230125-3;CONSTRUCTORA DE VICENTE EDIFICACION SA;753;10/10/2018;10/10/2018 23:40:16;11/10/2018 03:45:44;;0;3025805;574903;3600708;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;76568753;;;;;
5;33;Del Giro;76756942-4;BAS INGENIERIA Y CONSTRUCCION SPA;754;11/10/2018;11/10/2018 17:20:13;;;0;2911560;553196;3464756;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;76568753;;;;;
6;33;Del Giro;76230125-3;CONSTRUCTORA DE VICENTE EDIFICACION SA;755;11/10/2018;11/10/2018 17:29:55;11/10/2018 19:45:03;;0;1150059;218511;1368570;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;76568753;;;;;
7;33;Del Giro;76756942-4;BAS INGENIERIA Y CONSTRUCCION SPA;756;12/10/2018;12/10/2018 08:03:51;;;0;1295280;246103;1541383;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;76568753;;;;;
8;33;Del Giro;79784200-1;EMPRESA CONSULTORA Y CONSTRUCTORA RUCALHUE LIMITADA;757;12/10/2018;12/10/2018 08:20:41;16/10/2018 15:18:22;;0;1295280;246103;1541383;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;76568753;;;;;
9;33;Del Giro;78223950-3;RVC INGENIERIA Y CONSTRUCCION S A;758;16/10/2018;16/10/2018 18:39:52;18/10/2018 10:34:46;;0;29308506;5568616;34877122;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;76568753;;;;;
10;33;Del Giro;88213400-8;EMPRESA CONSTRUCTORA DESCO S A;759;24/10/2018;24/10/2018 12:27:33;;;0;1066179;202574;1268753;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;76568753;;;;;
11;33;Del Giro;76236553-7;CONSTRUCTORA VICONSA LIMITADA;760;24/10/2018;24/10/2018 20:36:27;;;0;6440429;1223682;7664111;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;76568753;;;;;
12;33;Del Giro;76230125-3;CONSTRUCTORA DE VICENTE EDIFICACION SA;761;24/10/2018;24/10/2018 20:42:02;;;0;4397559;835536;5233095;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;76568753;;;;;
13;61;Del Giro;76756942-4;BAS INGENIERIA Y CONSTRUCCION SPA;57;12/10/2018;12/10/2018 08:17:54;;;0;1295280;246103;1541383;0;0;0;0;0;-;0;0;0;0;33;756;;;0;;0;0;0;0;0;;;;76568753;;;;;
14;61;Del Giro;59059340-0;OBRASCON HUARTE LAIN S A AGENCIA EN CHILE;58;12/10/2018;12/10/2018 09:19:30;;;0;91652;17414;109066;0;0;0;0;0;-;0;0;0;0;33;725;;;0;;0;0;0;0;0;;;;76568753;;;;;
