Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;76073162-5;SOCIEDAD AUSTRAL DE ELECTRICIDAD S.A;2437;01/10/2018;01/10/2018 08:50:32;;;0;14000100;2660019;16660119;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;;;;
2;33;Del Giro;96531500-4;COMPAÑIA ELECTRICA DE OSORNO S.A;2438;01/10/2018;01/10/2018 10:07:14;;;0;7000000;1330000;8330000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;;;;
3;33;Del Giro;76073162-5;SOCIEDAD AUSTRAL DE ELECTRICIDAD S.A;2439;01/10/2018;01/10/2018 18:48:57;;;0;4125932;783927;4909859;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;;;;
4;33;Del Giro;76073162-5;SOCIEDAD AUSTRAL DE ELECTRICIDAD S.A;2440;02/10/2018;02/10/2018 11:38:52;;;0;130000;24700;154700;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;;;;
5;33;Del Giro;76073162-5;SOCIEDAD AUSTRAL DE ELECTRICIDAD S.A;2441;02/10/2018;02/10/2018 11:40:32;;;0;1260000;239400;1499400;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;;;;
6;33;Del Giro;76073162-5;SOCIEDAD AUSTRAL DE ELECTRICIDAD S.A;2442;02/10/2018;02/10/2018 12:16:23;;;0;3411950;648271;4060221;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;;;;
7;33;Del Giro;76073162-5;SOCIEDAD AUSTRAL DE ELECTRICIDAD S.A;2443;02/10/2018;02/10/2018 12:21:59;;;0;1787460;339617;2127077;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;;;;
8;33;Del Giro;96531500-4;COMPAÑIA ELECTRICA DE OSORNO S.A;2444;02/10/2018;02/10/2018 12:24:25;;;0;1396757;265384;1662141;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;;;;
9;33;Del Giro;76073162-5;SOCIEDAD AUSTRAL DE ELECTRICIDAD S.A;2445;02/10/2018;02/10/2018 14:44:19;;;0;3939644;748532;4688176;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;;;;
10;33;Del Giro;76073162-5;SOCIEDAD AUSTRAL DE ELECTRICIDAD S.A;2446;02/10/2018;02/10/2018 14:51:56;;;0;7676348;1458506;9134854;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;;;;
