Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;94272000-9;AES GENER S A;991;02/10/2018;02/10/2018 12:17:20;;05/10/2018 11:53:02;0;75000;14250;89250;0;0;0;0;0;-;0;0;0;0;52;994;;;0;;0;2;0;0;0;;;;76925253;;;;;
2;33;Del Giro;76727040-2;MINERA CENTINELA;992;08/10/2018;08/10/2018 11:46:19;09/10/2018 22:03:18;;0;912000;173280;1085280;0;0;0;0;0;-;0;0;0;0;52;1039;;;0;;0;2;0;0;0;;;;76925253;;;;;
3;33;Del Giro;61704000-K;CORP NACIONAL DEL COBRE DE CHILE;993;12/10/2018;12/10/2018 13:07:03;;;0;84000;15960;99960;0;0;0;0;0;-;0;0;0;0;52;1040;;;0;;0;2;0;0;0;;;;76925253;;;;;
4;33;Del Giro;76148338-2;SOCIEDAD DE PROCESAMIENTO DE MOLIBDENO LIMITADA;994;12/10/2018;12/10/2018 15:19:53;;;0;1470000;279300;1749300;0;0;0;0;0;-;0;0;0;0;52;1041;;;0;;0;2;0;0;0;;;;76925253;;;;;
5;33;Del Giro;76115484-2;INACAL S.A.;995;12/10/2018;12/10/2018 23:33:36;17/10/2018 17:16:32;;0;914000;173660;1087660;0;0;0;0;0;-;0;0;0;0;52;1042;;;0;;0;2;0;0;0;;;;76925253;;;;;
6;33;Del Giro;76115484-2;INACAL S.A.;996;12/10/2018;12/10/2018 23:35:12;17/10/2018 17:16:53;;0;1230000;233700;1463700;0;0;0;0;0;-;0;0;0;0;52;1043;;;0;;0;2;0;0;0;;;;76925253;;;;;
7;33;Del Giro;61704000-K;CORP NACIONAL DEL COBRE DE CHILE;997;20/10/2018;20/10/2018 16:00:49;;;0;2480000;471200;2951200;0;0;0;0;0;-;0;0;0;0;52;1044;;;0;;0;2;0;0;0;;;;76925253;;;;;
8;33;Del Giro;61704000-K;CORP NACIONAL DEL COBRE DE CHILE;998;20/10/2018;20/10/2018 16:01:53;;;0;1008000;191520;1199520;0;0;0;0;0;-;0;0;0;0;52;1045;;;0;;0;2;0;0;0;;;;76925253;;;;;
9;33;Del Giro;79947100-0;SQM INDUSTRIAL S.A.;999;20/10/2018;20/10/2018 16:03:01;;;0;3850000;731500;4581500;0;0;0;0;0;-;0;0;0;0;52;1047;;;0;;0;2;0;0;0;;;;76925253;;;;;
10;33;Del Giro;76148338-2;SOCIEDAD DE PROCESAMIENTO DE MOLIBDENO LIMITADA;1000;20/10/2018;20/10/2018 16:04:13;;;0;1470000;279300;1749300;0;0;0;0;0;-;0;0;0;0;52;1046;;;0;;0;2;0;0;0;;;;76925253;;;;;
11;61;Del Giro;90266000-3;ENAEX S A;118;09/10/2018;09/10/2018 10:26:30;;;0;8409;1598;10007;0;0;0;0;0;-;0;0;0;0;33;989;;;0;;0;0;0;0;0;;;;76925253;;;;;
12;61;Del Giro;76409316-K;KOSPO POWER SERVICES LIMITADA;119;22/10/2018;22/10/2018 11:25:17;;;0;185000;35150;220150;0;0;0;0;0;-;0;0;0;0;33;978;;;0;;0;0;0;0;0;;;;76925253;;;;;
