Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;90227000-0;VINA CONCHA Y TORO S.A.;2836;01/10/2018;29/09/2018 11:08:32;03/10/2018 10:36:48;;0;2010960;382082;2393042;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
2;33;Del Giro;84807200-1;BRUNO FRITSCH S.A.;2837;01/10/2018;01/10/2018 09:29:11;04/10/2018 09:18:03;;0;130000;24700;154700;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
3;33;Del Giro;90227000-0;VINA CONCHA Y TORO S.A.;2838;02/10/2018;01/10/2018 12:51:39;03/10/2018 10:37:38;;0;4755164;903481;5658645;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
4;33;Del Giro;71691800-9;CaMARA DE COMERCIO CHILENO COREANA A.G.;2839;02/10/2018;02/10/2018 17:13:18;;;0;111000;21090;132090;0;0;0;0;0;-;0;0;0;0;52;7529;;;0;;0;2;0;0;0;;;;0;;;;;
5;33;Del Giro;79649140-K;AUTOMOTORES GILDEMEISTER SPA;2840;03/10/2018;03/10/2018 09:53:11;;;0;1985000;377150;2362150;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
6;33;Del Giro;79649140-K;AUTOMOTORES GILDEMEISTER SPA;2841;05/10/2018;04/10/2018 16:27:30;;;0;21706580;4124250;25830830;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
7;33;Del Giro;93061000-3;IMPORT. Y DISTR. ALAMEDA S.A.;2842;05/10/2018;05/10/2018 16:18:02;05/10/2018 16:46:38;;0;2290000;435100;2725100;0;0;0;0;0;-;0;0;0;0;52;7518;;;0;;0;2;0;0;0;;;;0;;;;;
8;33;Del Giro;79649140-K;AUTOMOTORES GILDEMEISTER SPA;2843;08/10/2018;08/10/2018 11:46:08;;;0;2689343;510975;3200318;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
9;33;Del Giro;79649140-K;AUTOMOTORES GILDEMEISTER SPA;2844;08/10/2018;08/10/2018 11:49:21;;;0;2698343;512685;3211028;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
10;33;Del Giro;76148236-K;CLUB ONLINE LIMITADA;2845;08/10/2018;08/10/2018 12:56:06;;;0;3609200;685748;4294948;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
11;33;Del Giro;79649140-K;AUTOMOTORES GILDEMEISTER SPA;2846;09/10/2018;08/10/2018 18:10:55;;;0;547000;103930;650930;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
12;33;Del Giro;84687500-K;PEUGEOT CHILE S.A.;2847;10/10/2018;09/10/2018 11:13:45;;;0;1090800;207252;1298052;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
13;33;Del Giro;84807200-1;BRUNO FRITSCH S.A.;2848;09/10/2018;09/10/2018 14:55:57;17/10/2018 17:08:57;;0;14760000;2804400;17564400;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
14;33;Del Giro;84807200-1;BRUNO FRITSCH S.A.;2849;10/10/2018;10/10/2018 11:07:00;17/10/2018 17:13:59;;0;277252;52678;329930;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
15;33;Del Giro;81821100-7;TURISMO COCHA SA;2850;10/10/2018;10/10/2018 17:17:56;;;0;454000;86260;540260;0;0;0;0;0;-;0;0;0;0;52;7542;;;0;;0;2;0;0;0;;;;0;;;;;
16;33;Del Giro;82355500-8;FUNDACION DOMINGO MATTE MESIAS;2851;11/10/2018;11/10/2018 09:24:22;;;0;561000;106590;667590;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
17;33;Del Giro;79649140-K;AUTOMOTORES GILDEMEISTER SPA;2852;11/10/2018;11/10/2018 09:35:27;19/10/2018 15:21:09;;0;87600;16644;104244;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
18;33;Del Giro;84807200-1;BRUNO FRITSCH S.A.;2853;11/10/2018;11/10/2018 12:57:54;17/10/2018 17:16:59;;0;9800000;1862000;11662000;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
19;33;Del Giro;96870620-9;HONDA MOTOR DE CHILE S.A;2854;12/10/2018;11/10/2018 17:12:09;11/10/2018 17:41:56;;0;7960000;1512400;9472400;0;0;0;0;0;-;0;0;0;0;52;7643;;;0;;0;2;0;0;0;;;;0;;;;;
20;33;Del Giro;76268728-3;COMERCIALIZADORA DE PRODUCTOS DE ASEO RENHET SPA;2855;12/10/2018;12/10/2018 10:35:50;16/10/2018 09:21:05;;0;112650;21404;134054;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
21;33;Del Giro;90227000-0;VINA CONCHA Y TORO S.A.;2856;16/10/2018;16/10/2018 09:26:14;18/10/2018 05:20:19;;0;432000;82080;514080;0;0;0;0;0;-;0;0;0;0;52;7642;;;0;;0;2;0;0;0;;;;0;;;;;
22;33;Del Giro;79752140-K;INVERSIONES SEBASTOPOL SA;2857;16/10/2018;16/10/2018 09:46:46;18/10/2018 10:17:59;;0;149000;28310;177310;0;0;0;0;0;-;0;0;0;0;52;7641;;;0;;0;2;0;0;0;;;;0;;;;;
