Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;960;01/10/2018;03/10/2018 16:09:59;;;0;155430;29532;184962;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
2;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;961;03/10/2018;03/10/2018 16:14:26;;;0;259050;49220;308270;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
3;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;962;03/10/2018;03/10/2018 16:18:14;;;0;345400;65626;411026;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
4;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;963;03/10/2018;03/10/2018 16:22:54;;;0;394250;74908;469158;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
5;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;964;03/10/2018;03/10/2018 16:25:48;;;0;1033410;196348;1229758;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
6;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;965;03/10/2018;03/10/2018 16:28:50;;;0;624000;118560;742560;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
7;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;967;03/10/2018;03/10/2018 16:30:44;;;0;1544543;293463;1838006;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
8;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;968;03/10/2018;09/10/2018 14:50:20;;;0;831691;158021;989712;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
9;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;970;04/10/2018;09/10/2018 14:54:42;;;0;709650;134834;844484;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
10;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;971;04/10/2018;09/10/2018 15:05:03;;;0;842118;160002;1002120;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
11;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;972;04/10/2018;09/10/2018 15:07:22;;;0;537757;102174;639931;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
12;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;973;05/10/2018;09/10/2018 15:10:15;;;0;2496000;474240;2970240;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
13;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;974;05/10/2018;09/10/2018 15:13:31;;;0;369160;70140;439300;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
14;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;975;09/10/2018;09/10/2018 15:16:54;;;0;2065140;392377;2457517;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
15;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;976;09/10/2018;12/10/2018 12:59:15;;;0;328224;62363;390587;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
16;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;977;10/10/2018;12/10/2018 13:03:23;;;0;1872000;355680;2227680;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
17;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;978;10/10/2018;12/10/2018 13:04:59;;;0;1066728;202678;1269406;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
18;33;Del Giro;85844100-5;COLGATE PALMOLIVE CHILE S A;979;11/10/2018;12/10/2018 13:06:52;;;0;656448;124725;781173;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77342652;;;;;
