Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;61979960-7;DIRECCION DE EDUCACION DOCTRINA E HISTORIA DE CARABINEROS;1989;01/10/2018;28/09/2018 14:05:12;;;0;265269;50401;315670;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77375299;;;;;
2;33;Del Giro;61978700-5;ZONA METROPOLITANA DE CARABINEROS;1990;01/10/2018;28/09/2018 14:23:04;;;0;233055;44280;277335;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77375299;;;;;
3;33;Del Giro;69120100-7;I MUNICIPALIDAD DE CONSTITUCION;1991;02/10/2018;02/10/2018 11:14:36;;;0;1133860;215433;1349293;0;0;0;0;0;-;0;0;0;0;52;1103;;;0;;0;2;0;0;0;;;;77375299;;;;;
4;33;Del Giro;69120100-7;I MUNICIPALIDAD DE CONSTITUCION;1992;02/10/2018;02/10/2018 11:24:19;;;0;928766;176466;1105232;0;0;0;0;0;-;0;0;0;0;52;1104;;;0;;0;2;0;0;0;;;;77375299;;;;;
5;33;Del Giro;69120100-7;I MUNICIPALIDAD DE CONSTITUCION;1993;02/10/2018;02/10/2018 11:31:34;;;0;1111183;211125;1322308;0;0;0;0;0;-;0;0;0;0;52;1103;;;0;;0;2;0;0;0;;;;77375299;;;;;
6;33;Del Giro;61979960-7;DIRECCION DE EDUCACION DOCTRINA E HISTORIA DE CARABINEROS;1994;02/10/2018;02/10/2018 12:01:48;;;0;421571;80098;501669;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77375299;;;;;
7;33;Del Giro;69120100-7;I MUNICIPALIDAD DE CONSTITUCION;1995;02/10/2018;02/10/2018 16:58:50;;;0;2039948;387590;2427538;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77375299;;;;;
8;33;Del Giro;69220401-8;I MUNICIPALIDAD DE FRESIA DEPARTAMENTO ADMINIST DE EDUCACION MUNICIP;1997;03/10/2018;03/10/2018 14:06:05;;;0;749286;142364;891650;0;0;0;0;0;-;0;0;0;0;52;1113;;;0;;0;2;0;0;0;;;;77375299;;;;;
9;33;Del Giro;69220401-8;I MUNICIPALIDAD DE FRESIA DEPARTAMENTO ADMINIST DE EDUCACION MUNICIP;1998;03/10/2018;03/10/2018 14:09:49;;;0;749286;142364;891650;0;0;0;0;0;-;0;0;0;0;52;1113;;;0;;0;2;0;0;0;;;;77375299;;;;;
10;33;Del Giro;61008000-6;SERVICIO NACIONAL DE MENORES;1999;04/10/2018;03/10/2018 17:09:52;;;0;151437;28773;180210;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77375299;;;;;
11;33;Del Giro;76485313-K;SERVICIO DE ELABORACIÓN Y COMERCIALIZACIÓN DE COLACIONES DANIEL JOSE R;2000;04/10/2018;03/10/2018 17:16:39;;;0;79800;15162;94962;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;77375299;;;;;
