Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;81458500-K;CAMARA CHILENA DE LA CONSTRUCCION A G;292;01/10/2018;01/10/2018 16:55:21;04/10/2018 13:45:46;;0;2880000;547200;3427200;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77567695;;;;;
2;33;Del Giro;70016160-9;LA ARAUCANA C C A F;293;08/10/2018;08/10/2018 09:50:35;;09/10/2018 09:11:30;0;4705882;894118;5600000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;77567695;;;;;
3;33;Del Giro;81362400-1;INSTITUTO ALEMAN DE PUERTO MONTT;294;08/10/2018;08/10/2018 10:06:33;;;0;1350000;256500;1606500;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;77567695;;;;;
4;33;Del Giro;70016160-9;LA ARAUCANA C C A F;295;09/10/2018;09/10/2018 16:49:02;;;0;4705882;894118;5600000;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77567695;;;;;
5;33;Del Giro;78585230-3;AUTOMOTRIZ TECNOSUR LIMITADA;296;12/10/2018;12/10/2018 08:06:32;;;0;630240;119746;749986;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;77567695;;;;;
6;33;Del Giro;81414100-4;SOC INSTITUTO ALEMAN DE VALDIVIA;297;12/10/2018;12/10/2018 11:36:37;;;0;4411800;838242;5250042;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;77567695;;;;;
7;33;Del Giro;76203813-7;VERTEBRA PRODUCCIONES LIMITADA;298;17/10/2018;17/10/2018 16:35:59;;;0;2660000;505400;3165400;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;77567695;;;;;
8;33;Del Giro;76154063-7;DPMAS SPA;300;17/10/2018;17/10/2018 16:45:27;19/10/2018 09:58:00;;0;6000000;1140000;7140000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;77567695;;;;;
9;33;Del Giro;81414100-4;SOC INSTITUTO ALEMAN DE VALDIVIA;301;18/10/2018;18/10/2018 16:05:32;;;0;6560889;1246569;7807458;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;77567695;;;;;
10;33;Del Giro;70016160-9;LA ARAUCANA C C A F;302;23/10/2018;23/10/2018 12:29:26;;;0;5428571;1031428;6459999;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77567695;;;;;
11;33;Del Giro;81458500-K;CAMARA CHILENA DE LA CONSTRUCCION A G;303;23/10/2018;23/10/2018 12:33:40;;;0;2880000;547200;3427200;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77567695;;;;;
12;33;Del Giro;90299000-3;CIA NACIONAL DE TELEFONOS TELEFONICA DEL SUR S A;304;23/10/2018;23/10/2018 12:40:39;;;0;720000;136800;856800;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77567695;;;;;
13;33;Del Giro;81362400-1;INSTITUTO ALEMAN DE PUERTO MONTT;305;23/10/2018;23/10/2018 12:56:59;;;0;350000;66500;416500;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;77567695;;;;;
14;61;Del Giro;70016160-9;LA ARAUCANA C C A F;29;09/10/2018;09/10/2018 16:46:56;;;0;4705882;894118;5600000;0;0;0;0;0;-;0;0;0;0;33;293;;;0;;0;0;0;0;0;;;;77567695;;;;;
