Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;77927760-7;CONSTRUCTORA ARTE LIMITADA;97;09/10/2018;09/10/2018 11:50:25;;;0;70000;13300;83300;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;77688684;;;;;
2;33;Del Giro;77927760-7;CONSTRUCTORA ARTE LIMITADA;98;09/10/2018;09/10/2018 11:56:34;;;0;140000;26600;166600;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;77688684;;;;;
3;33;Del Giro;77927760-7;CONSTRUCTORA ARTE LIMITADA;99;09/10/2018;09/10/2018 12:00:33;;;0;210000;39900;249900;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;77688684;;;;;
4;33;Del Giro;77927760-7;CONSTRUCTORA ARTE LIMITADA;100;09/10/2018;09/10/2018 12:06:07;;;0;840000;159600;999600;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;77688684;;;;;
5;33;Del Giro;78129870-0;COMERCIAL YOLANDA LIMITADA;101;12/10/2018;12/10/2018 11:40:24;;;0;280000;53200;333200;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;77688684;;;;;
6;33;Del Giro;76171663-8;INGENIEROS SANITARIOS CONSULTORES LIMITADA;102;22/10/2018;22/10/2018 12:29:39;;;0;17136;3256;20392;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;77688684;;;;;
7;33;Del Giro;76171663-8;INGENIEROS SANITARIOS CONSULTORES LIMITADA;103;23/10/2018;23/10/2018 16:05:19;;;0;25200;4788;29988;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;77688684;;;;;
8;34;Del Giro;76833300-9;ESSBIO S.A.;196;03/10/2018;03/10/2018 11:02:35;09/10/2018 15:41:50;;1596000;0;0;1596000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;77688684;;;;;
9;34;Del Giro;76435700-0;ALISTER INGENIERIA Y CONSTRUCCION LIMITADA;197;04/10/2018;04/10/2018 10:48:25;;;200000;0;0;200000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;77688684;;;;;
10;34;Del Giro;76171663-8;INGENIEROS SANITARIOS CONSULTORES LIMITADA;198;10/10/2018;10/10/2018 15:43:37;;;6840000;0;0;6840000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;77688684;;;;;
11;34;Del Giro;76833300-9;ESSBIO S.A.;199;23/10/2018;23/10/2018 12:31:17;24/10/2018 11:20:26;;6726266;0;0;6726266;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;77688684;;;;;
