Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;76285098-2;D Y C SERVICIOS LOGISTICOS S.A.;145;09/10/2018;09/10/2018 14:12:02;;09/10/2018 16:39:19;0;1570000;298300;1868300;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78213114;;;;;
2;33;Del Giro;76285098-2;D Y C SERVICIOS LOGISTICOS S.A.;146;16/10/2018;16/10/2018 13:07:03;;16/10/2018 18:19:45;0;1430000;271700;1701700;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78213114;;;;;
3;33;Del Giro;76285098-2;D Y C SERVICIOS LOGISTICOS S.A.;147;16/10/2018;16/10/2018 13:11:07;;16/10/2018 18:19:55;0;140000;26600;166600;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78213114;;;;;
4;33;Del Giro;76285098-2;D Y C SERVICIOS LOGISTICOS S.A.;148;22/10/2018;22/10/2018 12:52:18;22/10/2018 13:16:57;;0;1430000;271700;1701700;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78213114;;;;;
5;33;Del Giro;76285098-2;D Y C SERVICIOS LOGISTICOS S.A.;149;22/10/2018;22/10/2018 12:54:49;22/10/2018 13:17:31;;0;140000;26600;166600;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78213114;;;;;
6;56;Del Giro;76285098-2;D Y C SERVICIOS LOGISTICOS S.A.;1;22/10/2018;22/10/2018 12:31:48;;;0;1430000;271700;1701700;0;0;0;0;0;-;0;0;0;0;61;31;;;0;;0;0;0;0;0;;;;78213114;;;;;
7;56;Del Giro;76285098-2;D Y C SERVICIOS LOGISTICOS S.A.;2;22/10/2018;22/10/2018 12:34:29;;;0;140000;26600;166600;0;0;0;0;0;-;0;0;0;0;61;32;;;0;;0;0;0;0;0;;;;78213114;;;;;
8;61;Del Giro;76285098-2;D Y C SERVICIOS LOGISTICOS S.A.;30;16/10/2018;16/10/2018 20:32:58;;;0;1570000;298300;1868300;0;0;0;0;0;-;0;0;0;0;33;145;;;0;;0;0;0;0;0;;;;78213114;;;;;
9;61;Del Giro;76285098-2;D Y C SERVICIOS LOGISTICOS S.A.;31;16/10/2018;16/10/2018 20:48:13;;;0;1430000;271700;1701700;0;0;0;0;0;-;0;0;0;0;33;146;;;0;;0;0;0;0;0;;;;78213114;;;;;
10;61;Del Giro;76285098-2;D Y C SERVICIOS LOGISTICOS S.A.;32;16/10/2018;16/10/2018 21:00:22;;;0;140000;26600;166600;0;0;0;0;0;-;0;0;0;0;33;147;;;0;;0;0;0;0;0;;;;78213114;;;;;
11;61;Del Giro;76285098-2;D Y C SERVICIOS LOGISTICOS S.A.;33;22/10/2018;22/10/2018 12:28:20;;;0;1430000;271700;1701700;0;0;0;0;0;-;0;0;0;0;33;146;;;0;;0;0;0;0;0;;;;78213114;;;;;
12;61;Del Giro;76285098-2;D Y C SERVICIOS LOGISTICOS S.A.;34;22/10/2018;22/10/2018 12:30:12;;;0;140000;26600;166600;0;0;0;0;0;-;0;0;0;0;33;147;;;0;;0;0;0;0;0;;;;78213114;;;;;
