Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;76083245-6;CORDILLERA INGENIERIA Y CONSTRUCCION SPA;402;01/10/2018;01/10/2018 11:40:49;;;0;34022724;6464318;40487042;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78341752;;;;;
2;33;Del Giro;76482159-9;CONSTRUCCIÓN Y PROYECTOS  CATRICO SPA;403;03/10/2018;03/10/2018 19:54:26;;;0;3642902;692151;4335053;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78341752;;;;;
3;33;Del Giro;81537600-5;RENDIC HERMANOS S A;405;09/10/2018;09/10/2018 14:30:14;11/10/2018 16:36:29;;0;6822644;1296302;8118946;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78341752;;;;;
4;33;Del Giro;76567734-3;RSM ARQUITECTURA Y CONSTRUCCION SPA;406;09/10/2018;09/10/2018 23:39:35;10/10/2018 13:39:41;;0;7000000;1330000;8330000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78341752;;;;;
5;33;Del Giro;71644300-0;UNIVERSIDAD DEL DESARROLLO;407;11/10/2018;11/10/2018 00:13:45;;;0;1486940;282519;1769459;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78341752;;;;;
6;33;Del Giro;71644300-0;UNIVERSIDAD DEL DESARROLLO;408;11/10/2018;11/10/2018 00:16:48;;;0;575770;109396;685166;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78341752;;;;;
7;33;Del Giro;71644300-0;UNIVERSIDAD DEL DESARROLLO;409;11/10/2018;11/10/2018 00:22:38;;;0;1235000;234650;1469650;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78341752;;;;;
8;33;Del Giro;71644300-0;UNIVERSIDAD DEL DESARROLLO;410;11/10/2018;11/10/2018 00:25:49;;;0;1521040;288998;1810038;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78341752;;;;;
9;33;Del Giro;76482159-9;CONSTRUCCIÓN Y PROYECTOS  CATRICO SPA;411;11/10/2018;11/10/2018 19:35:08;;;0;6000000;1140000;7140000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78341752;;;;;
10;33;Del Giro;81537600-5;RENDIC HERMANOS S A;412;12/10/2018;12/10/2018 11:19:31;;;0;28581056;5430401;34011457;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78341752;;;;;
11;33;Del Giro;81537600-5;RENDIC HERMANOS S A;413;12/10/2018;12/10/2018 11:23:27;;;0;15000000;2850000;17850000;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78341752;;;;;
12;33;Del Giro;81537600-5;RENDIC HERMANOS S A;414;18/10/2018;18/10/2018 13:51:45;;;0;1000000;190000;1190000;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78341752;;;;;
13;33;Del Giro;81537600-5;RENDIC HERMANOS S A;415;18/10/2018;18/10/2018 14:00:48;;;0;600000;114000;714000;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78341752;;;;;
14;33;Del Giro;76482159-9;CONSTRUCCIÓN Y PROYECTOS  CATRICO SPA;416;22/10/2018;22/10/2018 09:09:33;;;0;10118321;1922481;12040802;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78341752;;;;;
15;33;Del Giro;76095378-4;CELTIC SPA;417;22/10/2018;22/10/2018 12:58:14;;;0;4275000;812250;5087250;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78341752;;;;;
16;33;Del Giro;81537600-5;RENDIC HERMANOS S A;418;24/10/2018;24/10/2018 14:02:23;;;0;9096858;1728403;10825261;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78341752;;;;;
17;34;Del Giro;76409158-2;MAGNO ASESORIAS LIMITADA;3;24/10/2018;24/10/2018 12:15:25;;;3000000;0;0;3000000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78341752;;;;;
