Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;79998220-K;COMERCIAL HIDROCENTRO S.A.;1021;01/10/2018;01/10/2018 10:10:16;03/10/2018 14:41:48;;0;1209450;229796;1439246;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78351949;;;;;
2;33;Del Giro;76215022-0;SOCIEDAD COMERCIAL RETAMAL E HIJOS LIMITADA;1022;01/10/2018;01/10/2018 17:14:49;;;0;60000;11400;71400;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;78351949;;;;;
3;33;Del Giro;76536499-K;JUNGHEINRICH RENTALIFT SPA;1023;01/10/2018;01/10/2018 17:21:06;08/10/2018 13:44:21;;0;190000;36100;226100;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78351949;;;;;
4;33;Del Giro;76536499-K;JUNGHEINRICH RENTALIFT SPA;1024;01/10/2018;01/10/2018 17:26:52;08/10/2018 12:51:02;;0;360000;68400;428400;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78351949;;;;;
5;33;Del Giro;76536499-K;JUNGHEINRICH RENTALIFT SPA;1025;01/10/2018;01/10/2018 17:32:15;08/10/2018 12:47:17;;0;160000;30400;190400;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78351949;;;;;
6;33;Del Giro;76536499-K;JUNGHEINRICH RENTALIFT SPA;1026;01/10/2018;01/10/2018 17:35:38;08/10/2018 12:48:06;;0;560000;106400;666400;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78351949;;;;;
7;33;Del Giro;76536499-K;JUNGHEINRICH RENTALIFT SPA;1027;01/10/2018;01/10/2018 17:39:13;08/10/2018 12:48:59;;0;260000;49400;309400;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78351949;;;;;
8;33;Del Giro;76536499-K;JUNGHEINRICH RENTALIFT SPA;1028;01/10/2018;01/10/2018 17:41:39;08/10/2018 12:49:30;;0;75000;14250;89250;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78351949;;;;;
9;33;Del Giro;76536499-K;JUNGHEINRICH RENTALIFT SPA;1029;01/10/2018;01/10/2018 17:46:17;08/10/2018 13:35:23;;0;235000;44650;279650;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78351949;;;;;
10;33;Del Giro;79998220-K;COMERCIAL HIDROCENTRO S.A.;1031;02/10/2018;02/10/2018 16:25:35;03/10/2018 14:41:48;;0;956852;181802;1138654;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78351949;;;;;
