Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;79527230-5;EMIN INGENIERIA Y CONSTRUCCION SOCIEDAD ANONIMA;390;03/10/2018;03/10/2018 14:33:34;;;0;12162160;2310810;14472970;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78460038;;;;;
2;33;Del Giro;96791820-2;GEOBLAST S.A.;393;03/10/2018;03/10/2018 15:29:58;08/10/2018 21:15:43;;0;1759676;334338;2094014;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78460038;;;;;
3;33;Del Giro;96791820-2;GEOBLAST S.A.;395;03/10/2018;03/10/2018 15:36:28;08/10/2018 21:16:16;;0;625000;118750;743750;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78460038;;;;;
4;33;Del Giro;76211240-K;TRANSPORTES, TECNOLOGIA Y GIROS EGT LIMITADA;396;12/10/2018;12/10/2018 10:27:02;12/10/2018 11:46:28;;0;3171048;602499;3773547;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78460038;;;;;
5;33;Del Giro;96585690-0;SUR ASISTENCIA S A;397;19/10/2018;19/10/2018 01:29:05;;;0;2100000;399000;2499000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78460038;;;;;
6;34;Del Giro;76938030-2;AMEC FOSTER WHEELER INTERNATIONAL INGENIERIA Y CONSTRUCCION LTDA;463;03/10/2018;03/10/2018 14:28:19;;;2032800;0;0;2032800;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78460038;;;;;
7;34;Del Giro;76938030-2;AMEC FOSTER WHEELER INTERNATIONAL INGENIERIA Y CONSTRUCCION LTDA;464;03/10/2018;03/10/2018 14:52:43;;;3131000;0;0;3131000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78460038;;;;;
8;34;Del Giro;78152850-1;GUINEZ INGENIERIA LIMITADA;465;03/10/2018;03/10/2018 15:19:35;;;1314300;0;0;1314300;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78460038;;;;;
9;34;Del Giro;96791820-2;GEOBLAST S.A.;466;04/10/2018;04/10/2018 13:15:08;08/10/2018 21:16:44;;240000;0;0;240000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78460038;;;;;
10;61;Del Giro;76938030-2;AMEC FOSTER WHEELER INTERNATIONAL INGENIERIA Y CONSTRUCCION LTDA;79;03/10/2018;03/10/2018 14:50:49;;;3131000;0;0;3131000;0;0;0;0;0;-;0;0;0;0;34;435;;;0;;0;0;0;0;0;;;;78460038;;;;;
