Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;60908000-0;JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA;1959;01/10/2018;01/10/2018 11:36:32;;;0;250000;47500;297500;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78528338;;;;;
2;33;Del Giro;76839824-0;FINANCIA CAPITAL SERVICIOS SPA;1960;01/10/2018;01/10/2018 11:53:18;;;0;38000;7220;45220;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78528338;;;;;
3;33;Del Giro;93658000-9;CHILENA DE MOLDEADOS S A CHIMOLSA;1961;02/10/2018;02/10/2018 12:58:45;;;0;1400000;266000;1666000;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78528338;;;;;
4;33;Del Giro;91915000-9;INGENIERIA Y CONSTRUCCION SIGDO    KOPPERS S A;1962;02/10/2018;02/10/2018 13:08:02;08/10/2018 13:33:40;;0;1510000;286900;1796900;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78528338;;;;;
5;33;Del Giro;53318767-6;EDIFICIO OMBU;1963;02/10/2018;02/10/2018 13:30:51;;;0;812700;154413;967113;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78528338;;;;;
6;33;Del Giro;89201400-0;ENVASES IMPRESOS S A;1964;02/10/2018;02/10/2018 13:47:58;;;0;418000;79420;497420;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78528338;;;;;
7;33;Del Giro;89201400-0;ENVASES IMPRESOS S A;1965;02/10/2018;02/10/2018 13:55:14;;;0;140000;26600;166600;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78528338;;;;;
8;33;Del Giro;91915000-9;INGENIERIA Y CONSTRUCCION SIGDO    KOPPERS S A;1966;02/10/2018;02/10/2018 14:01:46;09/10/2018 10:45:24;;0;85000;16150;101150;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78528338;;;;;
9;33;Del Giro;96538460-K;SCANIA CHILE S A;1967;02/10/2018;02/10/2018 14:12:19;;;0;282625;53699;336324;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78528338;;;;;
10;33;Del Giro;96538460-K;SCANIA CHILE S A;1968;02/10/2018;02/10/2018 14:16:30;;;0;127500;24225;151725;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78528338;;;;;
11;33;Del Giro;96853150-6;PAPELES CORDILLERA S A;1969;03/10/2018;03/10/2018 12:59:27;;;0;68000;12920;80920;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78528338;;;;;
12;33;Del Giro;99520110-0;ADMINISTRADORA DE SERVICIOS HIGIENICOS SPA;1970;03/10/2018;03/10/2018 16:22:00;;;0;392992;74668;467660;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78528338;;;;;
13;33;Del Giro;76403327-2;TECNOCARD SPA;1971;03/10/2018;03/10/2018 16:45:30;;;0;53100;10089;63189;0;0;0;0;0;-;0;0;0;0;52;834;;;0;;0;2;0;0;0;;;;78528338;;;;;
14;33;Del Giro;96529310-8;CMPC TISSUE S A;1972;03/10/2018;03/10/2018 16:59:12;;;0;4885000;928150;5813150;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78528338;;;;;
15;33;Del Giro;76203299-6;COMERCIALIZADORA COSTANERA CENTER SPA;1973;03/10/2018;03/10/2018 17:06:02;;;0;88000;16720;104720;0;0;0;0;0;-;0;0;0;0;52;994;;;0;;0;2;0;0;0;;;;78528338;;;;;
16;33;Del Giro;96557910-9;ALIMENTOS Y FRUTOS S A;1974;04/10/2018;04/10/2018 17:38:49;;;0;900000;171000;1071000;0;0;0;0;0;-;0;0;0;0;52;1024;;;0;;0;2;0;0;0;;;;78528338;;;;;
17;33;Del Giro;93783000-9;AON RISK SERVICES (CHILE) CORREDORES DE SEGUROS LIMITADA;1975;04/10/2018;04/10/2018 17:48:07;;;0;43000;8170;51170;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78528338;;;;;
18;33;Del Giro;78542610-K;GISER S.A.;1976;05/10/2018;05/10/2018 12:49:11;;;0;127500;24225;151725;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78528338;;;;;
19;33;Del Giro;79637370-9;CONSTRUCTORA CONPAX SPA;1977;08/10/2018;08/10/2018 11:13:45;;;0;15852169;3011912;18864081;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78528338;;;;;
20;33;Del Giro;79637370-9;CONSTRUCTORA CONPAX SPA;1978;08/10/2018;08/10/2018 11:21:06;;;0;1527475;290220;1817695;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78528338;;;;;
