Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;842;01/10/2018;01/10/2018 08:59:27;;;0;715279;135903;851182;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78824790;;;;;
2;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;843;01/10/2018;01/10/2018 09:03:13;;;0;238426;45301;283727;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78824790;;;;;
3;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;844;01/10/2018;01/10/2018 09:06:55;;;0;219352;41677;261029;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78824790;;;;;
4;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;845;01/10/2018;01/10/2018 09:11:14;;;0;232966;44264;277230;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78824790;;;;;
5;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;846;01/10/2018;01/10/2018 09:14:20;;;0;201377;38262;239639;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78824790;;;;;
6;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;847;01/10/2018;01/10/2018 09:18:01;;;0;135527;25750;161277;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78824790;;;;;
7;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;848;01/10/2018;01/10/2018 09:23:01;;;0;692892;131649;824541;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78824790;;;;;
8;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;849;01/10/2018;01/10/2018 09:29:41;;;0;458531;87121;545652;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78824790;;;;;
9;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;850;01/10/2018;01/10/2018 09:35:37;;;0;662323;125841;788164;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78824790;;;;;
10;33;Del Giro;60503000-9;EMPRESA DE CORREOS DE CHILE;851;01/10/2018;01/10/2018 09:42:06;;;0;234366;44530;278896;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78824790;;;;;
11;33;Del Giro;81779300-2;ARZOBISPADO DE LA SERENA;852;01/10/2018;01/10/2018 21:20:37;;;0;272000;51680;323680;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78824790;;;;;
12;33;Del Giro;99147000-K;BCI SEGUROS GENERALES S A;853;08/10/2018;08/10/2018 20:50:41;12/10/2018 18:56:22;;0;282482;53672;336154;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;78824790;;;;;
13;33;Del Giro;86269900-9;EMPRESA DE TRANSPORTES COMPANIA DE SEGUR;854;11/10/2018;11/10/2018 20:34:28;;;0;1368350;259987;1628337;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;78824790;;;;;
