Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;76497406-9;IMPORTADORA Y EXPORTADORA ECOLIFE CHILE LIMITADA;446;01/10/2018;01/10/2018 09:38:06;;;0;700000;133000;833000;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;1;0;0;0;;;;79215057;;;;;
2;33;Del Giro;76611603-5;PESCAFINA SPA;447;04/10/2018;04/10/2018 10:01:36;;;0;180000;34200;214200;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;1;0;0;0;;;;79215057;;;;;
3;33;Del Giro;83641100-5;AGROVET SPA;448;04/10/2018;04/10/2018 14:12:21;05/10/2018 15:15:10;;0;105750;20093;125843;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79215057;;;;;
4;33;Del Giro;77522330-8;GIDDINGS BERRIES CHILE S A;449;05/10/2018;05/10/2018 14:26:52;;;0;510000;96900;606900;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79215057;;;;;
5;33;Del Giro;76364688-2;INTERCARRY LOGISTICA LIMITADA;450;08/10/2018;08/10/2018 21:04:48;11/10/2018 00:32:31;;0;1400000;266000;1666000;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79215057;;;;;
6;33;Del Giro;76261420-0;COSTA VIVA S.A.;451;12/10/2018;12/10/2018 15:12:44;;;0;138000;26220;164220;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;79215057;;;;;
7;33;Del Giro;83641100-5;AGROVET SPA;452;15/10/2018;15/10/2018 16:26:31;17/10/2018 15:47:38;;0;433500;82365;515865;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79215057;;;;;
8;33;Del Giro;76245687-7;LA PIEDRA BIOTECNOLOGIA SPA;455;15/10/2018;15/10/2018 16:56:55;;;0;19000;3610;22610;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;1;0;0;0;;;;79215057;;;;;
9;33;Del Giro;76497406-9;IMPORTADORA Y EXPORTADORA ECOLIFE CHILE LIMITADA;456;17/10/2018;17/10/2018 09:36:11;;;0;30000;5700;35700;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;79215057;;;;;
10;33;Del Giro;76245687-7;LA PIEDRA BIOTECNOLOGIA SPA;457;18/10/2018;18/10/2018 11:37:28;;;0;57000;10830;67830;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;1;0;0;0;;;;79215057;;;;;
11;33;Del Giro;77522330-8;GIDDINGS BERRIES CHILE S A;458;19/10/2018;19/10/2018 09:58:50;;;0;340000;64600;404600;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79215057;;;;;
12;33;Del Giro;76354133-9;EXPORTADORA SAN CLEMENTE LIMITADA;460;23/10/2018;23/10/2018 16:00:54;;;0;64000;12160;76160;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79215057;;;;;
