Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;96690360-0;SONDAJES SPA;390;01/10/2018;01/10/2018 14:25:18;08/10/2018 00:35:16;;0;233442;44354;277796;0;0;0;0;0;-;0;0;0;0;52;505;;;0;;0;2;0;0;0;;;;79212115;;;;;
2;33;Del Giro;84356800-9;WATTS  S.A.;391;03/10/2018;03/10/2018 15:24:23;;;0;1000000;190000;1190000;0;0;0;0;0;-;0;0;0;0;52;506;;;0;;0;2;0;0;0;;;;79212115;;;;;
3;33;Del Giro;76379916-6;AQUADRILL SPA;392;08/10/2018;08/10/2018 10:46:47;;;0;21628200;4109358;25737558;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79212115;;;;;
4;33;Del Giro;78954130-2;QUINTA INGENIERIA Y CONSTRUCCION LTDA;393;09/10/2018;09/10/2018 16:50:18;10/10/2018 15:25:09;;0;300000;57000;357000;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79212115;;;;;
5;33;Del Giro;79554640-5;SONDAJES PERFOMAQ S A;394;09/10/2018;09/10/2018 16:55:24;;;0;2475000;470250;2945250;0;0;0;0;0;-;0;0;0;0;52;515;;;0;;0;2;0;0;0;;;;79212115;;;;;
6;33;Del Giro;76829530-1;EMPRESA DE AGUAS SUBTERRANEAS  SERVICIOS DE INGENIERIA Y PROYECTOS ARQ;395;10/10/2018;10/10/2018 17:25:16;;;0;949500;180405;1129905;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79212115;;;;;
7;33;Del Giro;69071700-K;I MUNICIPALIDAD DE PENAFLOR;396;12/10/2018;12/10/2018 16:33:13;;;0;2481160;471420;2952580;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79212115;;;;;
8;33;Del Giro;79554640-5;SONDAJES PERFOMAQ S A;397;17/10/2018;17/10/2018 12:56:09;;;0;1171200;222528;1393728;0;0;0;0;0;-;0;0;0;0;52;518;;;0;;0;2;0;0;0;;;;79212115;;;;;
9;33;Del Giro;96690360-0;SONDAJES SPA;398;17/10/2018;17/10/2018 16:24:36;;;0;82130;15605;97735;0;0;0;0;0;-;0;0;0;0;52;519;;;0;;0;1;0;0;0;;;;79212115;;;;;
10;33;Del Giro;76563675-2;3V-TEC DISEÑO E INGENIERÍA SPA;399;17/10/2018;17/10/2018 17:18:40;;;0;285176;54183;339359;0;0;0;0;0;-;0;0;0;0;52;520;;;0;;0;1;0;0;0;;;;79212115;;;;;
11;33;Del Giro;76423747-1;TECNOLOGIAS EN FILTRACION DE AGUAS LIMITADA;400;19/10/2018;19/10/2018 17:07:42;;;0;192423;36560;228983;0;0;0;0;0;-;0;0;0;0;52;525;;;0;;0;1;0;0;0;;;;79212115;;;;;
12;33;Del Giro;76411315-2;SONDAJES Y CONSTRUCCIONES PERFORROTER LIMITADA;401;19/10/2018;19/10/2018 17:10:24;;;0;840000;159600;999600;0;0;0;0;0;-;0;0;0;0;52;526;;;0;;0;2;0;0;0;;;;79212115;;;;;
