Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;89037500-6;EMPRESA CONSTRUCTORA SIGRO S A;398;01/10/2018;01/10/2018 10:03:41;02/10/2018 09:46:20;;0;264000;50160;314160;0;0;0;0;0;-;0;0;0;0;52;406;;;0;;0;2;0;0;0;;;;80269686;;;;;
2;33;Del Giro;76084201-K;MALL PASEO QUILIN S.A.;399;01/10/2018;01/10/2018 10:09:07;02/10/2018 17:13:19;;0;245000;46550;291550;0;0;0;0;0;-;0;0;0;0;52;407;;;0;;0;2;0;0;0;;;;80269686;;;;;
3;33;Del Giro;89037500-6;EMPRESA CONSTRUCTORA SIGRO S A;400;02/10/2018;02/10/2018 09:42:40;03/10/2018 17:35:31;;0;397000;75430;472430;0;0;0;0;0;-;0;0;0;0;52;408;;;0;;0;2;0;0;0;;;;80269686;;;;;
4;33;Del Giro;76618511-8;CONSORCIO BESALCO ARAUCO S.A;401;02/10/2018;02/10/2018 14:56:46;03/10/2018 18:34:23;;0;12296000;2336240;14632240;0;0;0;0;0;-;0;0;0;0;52;409;;;0;;0;2;0;0;0;;;;80269686;;;;;
5;33;Del Giro;76161754-0;ESTUDIO JURIDICO LENA Y CIA. S.A.;402;03/10/2018;03/10/2018 16:56:43;08/10/2018 14:09:47;;0;360000;68400;428400;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;80269686;;;;;
6;33;Del Giro;77841700-6;CONSTRUCTORA NAHMIAS QUINTA REGION LIMITADA;403;03/10/2018;03/10/2018 19:13:04;09/10/2018 22:02:29;;0;264600;50274;314874;0;0;0;0;0;-;0;0;0;0;52;410;;;0;;0;2;0;0;0;;;;80269686;;;;;
7;33;Del Giro;76324750-3;CONSTRUCTORA RAUL DEL RIO LIMITADA;404;04/10/2018;04/10/2018 13:52:10;08/10/2018 11:06:37;;0;143400;27246;170646;0;0;0;0;0;-;0;0;0;0;52;411;;;0;;0;2;0;0;0;;;;80269686;;;;;
8;33;Del Giro;78223950-3;RVC INGENIERIA Y CONSTRUCCION S A;405;04/10/2018;04/10/2018 13:58:56;05/10/2018 19:00:18;;0;140000;26600;166600;0;0;0;0;0;-;0;0;0;0;52;412;;;0;;0;2;0;0;0;;;;80269686;;;;;
9;33;Del Giro;77841700-6;CONSTRUCTORA NAHMIAS QUINTA REGION LIMITADA;406;08/10/2018;08/10/2018 11:29:43;;;0;239590;45522;285112;0;0;0;0;0;-;0;0;0;0;52;413;;;0;;0;2;0;0;0;;;;80269686;;;;;
10;33;Del Giro;77841700-6;CONSTRUCTORA NAHMIAS QUINTA REGION LIMITADA;407;08/10/2018;08/10/2018 11:38:27;;;0;239590;45522;285112;0;0;0;0;0;-;0;0;0;0;52;414;;;0;;0;2;0;0;0;;;;80269686;;;;;
11;33;Del Giro;76324750-3;CONSTRUCTORA RAUL DEL RIO LIMITADA;408;09/10/2018;09/10/2018 09:46:12;10/10/2018 15:28:34;;0;188500;35815;224315;0;0;0;0;0;-;0;0;0;0;52;415;;;0;;0;2;0;0;0;;;;80269686;;;;;
12;33;Del Giro;76618511-8;CONSORCIO BESALCO ARAUCO S.A;409;09/10/2018;09/10/2018 17:56:14;11/10/2018 11:06:35;;0;9560000;1816400;11376400;0;0;0;0;0;-;0;0;0;0;52;416;;;0;;0;2;0;0;0;;;;80269686;;;;;
13;33;Del Giro;89037500-6;EMPRESA CONSTRUCTORA SIGRO S A;410;09/10/2018;09/10/2018 18:14:09;;13/10/2018 10:55:26;0;1229300;233567;1462867;0;0;0;0;0;-;0;0;0;0;52;417;;;0;;0;2;0;0;0;;;;80269686;;;;;
14;33;Del Giro;76324750-3;CONSTRUCTORA RAUL DEL RIO LIMITADA;411;09/10/2018;09/10/2018 18:26:27;16/10/2018 11:00:55;;0;188500;35815;224315;0;0;0;0;0;-;0;0;0;0;52;418;;;0;;0;2;0;0;0;;;;80269686;;;;;
15;33;Del Giro;89037500-6;EMPRESA CONSTRUCTORA SIGRO S A;412;11/10/2018;11/10/2018 08:40:46;12/10/2018 14:39:21;;0;1410000;267900;1677900;0;0;0;0;0;-;0;0;0;0;52;419;;;0;;0;2;0;0;0;;;;80269686;;;;;
16;33;Del Giro;89037500-6;EMPRESA CONSTRUCTORA SIGRO S A;413;12/10/2018;12/10/2018 09:04:58;13/10/2018 10:23:45;;0;451200;85728;536928;0;0;0;0;0;-;0;0;0;0;52;420;;;0;;0;2;0;0;0;;;;80269686;;;;;
17;33;Del Giro;77841700-6;CONSTRUCTORA NAHMIAS QUINTA REGION LIMITADA;414;16/10/2018;16/10/2018 10:39:27;;;0;226100;42959;269059;0;0;0;0;0;-;0;0;0;0;52;422;;;0;;0;2;0;0;0;;;;80269686;;;;;
18;33;Del Giro;77841700-6;CONSTRUCTORA NAHMIAS QUINTA REGION LIMITADA;415;16/10/2018;16/10/2018 10:46:22;;;0;226100;42959;269059;0;0;0;0;0;-;0;0;0;0;52;423;;;0;;0;2;0;0;0;;;;80269686;;;;;
19;33;Del Giro;89037500-6;EMPRESA CONSTRUCTORA SIGRO S A;416;16/10/2018;16/10/2018 11:38:11;22/10/2018 09:40:04;;0;693200;131708;824908;0;0;0;0;0;-;0;0;0;0;52;424;;;0;;0;2;0;0;0;;;;80269686;;;;;
20;33;Del Giro;76359555-2;EMPRESA DE INGENIERIA ELECTRICA Y SERVICIO ELETEC LIMITADA;417;18/10/2018;18/10/2018 14:57:16;24/10/2018 12:46:30;;0;5882400;1117656;7000056;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;80269686;;;;;
21;33;Del Giro;76618511-8;CONSORCIO BESALCO ARAUCO S.A;418;18/10/2018;18/10/2018 17:09:54;19/10/2018 14:10:45;;0;560000;106400;666400;0;0;0;0;0;-;0;0;0;0;52;426;;;0;;0;2;0;0;0;;;;80269686;;;;;
22;33;Del Giro;89037500-6;EMPRESA CONSTRUCTORA SIGRO S A;419;22/10/2018;22/10/2018 11:36:55;23/10/2018 18:01:45;;0;235500;44745;280245;0;0;0;0;0;-;0;0;0;0;52;427;;;0;;0;2;0;0;0;;;;80269686;;;;;
23;33;Del Giro;76618511-8;CONSORCIO BESALCO ARAUCO S.A;420;23/10/2018;23/10/2018 12:47:11;24/10/2018 09:45:11;;0;2198000;417620;2615620;0;0;0;0;0;-;0;0;0;0;52;428;;;0;;0;2;0;0;0;;;;80269686;;;;;
24;33;Del Giro;89037500-6;EMPRESA CONSTRUCTORA SIGRO S A;421;24/10/2018;24/10/2018 11:02:56;;;0;4854000;922260;5776260;0;0;0;0;0;-;0;0;0;0;52;429;;;0;;0;2;0;0;0;;;;80269686;;;;;
25;61;Del Giro;89037500-6;EMPRESA CONSTRUCTORA SIGRO S A;54;10/10/2018;10/10/2018 18:52:32;;;0;1178000;223820;1401820;0;0;0;0;0;-;0;0;0;0;33;387;;;0;;0;0;0;0;0;;;;80269686;;;;;
26;61;Del Giro;89037500-6;EMPRESA CONSTRUCTORA SIGRO S A;55;12/10/2018;12/10/2018 08:58:58;;13/10/2018 10:55:26;0;1229300;233567;1462867;0;0;0;0;0;-;0;0;0;0;33;410;;;0;;0;0;0;0;0;;;;80269686;;;;;
27;61;Del Giro;77841700-6;CONSTRUCTORA NAHMIAS QUINTA REGION LIMITADA;56;16/10/2018;16/10/2018 10:26:30;;;0;239590;45522;285112;0;0;0;0;0;-;0;0;0;0;33;406;;;0;;0;0;0;0;0;;;;80269686;;;;;
28;61;Del Giro;77841700-6;CONSTRUCTORA NAHMIAS QUINTA REGION LIMITADA;57;16/10/2018;16/10/2018 10:28:03;;;0;239590;45522;285112;0;0;0;0;0;-;0;0;0;0;33;407;;;0;;0;0;0;0;0;;;;80269686;;;;;
