Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;78793640-7;COMERCIAL S Y P LIMITADA;479;05/10/2018;05/10/2018 14:44:18;;;0;634926;120636;885724;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;25;130160;20.5;
2;33;Del Giro;99540470-2;CARPAS ROCHA SOCIEDAD ANONIMA;480;05/10/2018;05/10/2018 16:52:45;;;0;86325;16402;108601;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;0;;25;5874;20.5;
3;33;Del Giro;77823920-5;AGRICOLA EL LABERINTO LIMITADA;481;05/10/2018;05/10/2018 17:15:00;;;0;206714;39276;288366;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;0;;25;42376;20.5;
4;33;Del Giro;77606230-8;INVERSIONES ROMA LIMITADA;482;05/10/2018;05/10/2018 17:16:45;;;0;206714;39276;288366;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;0;;25;42376;20.5;
5;33;Del Giro;78793640-7;COMERCIAL S Y P LIMITADA;483;07/10/2018;07/10/2018 20:45:47;;;0;46458;8827;64809;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;25;9524;20.5;
6;33;Del Giro;76894707-4;COMERCIAL EXPRESS SPA;484;08/10/2018;08/10/2018 20:32:32;;;0;180301;34257;251520;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;25;36962;20.5;
7;33;Del Giro;76894707-4;COMERCIAL EXPRESS SPA;485;09/10/2018;09/10/2018 09:22:45;;;0;55814;10605;84000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;24;17581;31.5;
8;33;Del Giro;86140300-9;REVELLO Y CIA LTDA;486;09/10/2018;09/10/2018 19:32:35;;;0;927228;176173;1293483;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;25;190082;20.5;
9;33;Del Giro;76552969-7;MCLAB INGENIERIA SPA;487;15/10/2018;15/10/2018 18:57:39;;;0;36726;6978;52801;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;0;;25;9097;20.5;
10;33;Del Giro;76497340-2;DIE M S.A;488;15/10/2018;15/10/2018 19:08:43;19/10/2018 18:37:00;;0;22259;4229;32001;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;25;5513;20.5;
