Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;96629370-5;MONEX INVERSIONES SA;935;01/10/2018;01/10/2018 12:02:01;;;0;943895;179340;1123235;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79108332;;;;;
2;33;Del Giro;85412900-7;EMPRESA DE SERVICIOS DE INFORMATICA S A;936;01/10/2018;01/10/2018 12:31:37;04/10/2018 10:42:37;;0;11625556;2208856;13834412;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79108332;;;;;
3;33;Del Giro;85412900-7;EMPRESA DE SERVICIOS DE INFORMATICA S A;937;01/10/2018;01/10/2018 13:14:15;04/10/2018 10:41:18;;0;764692;145291;909983;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79108332;;;;;
4;33;Del Giro;85412900-7;EMPRESA DE SERVICIOS DE INFORMATICA S A;938;01/10/2018;01/10/2018 13:49:49;04/10/2018 10:39:30;;0;264701;50293;314994;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79108332;;;;;
5;33;Del Giro;85412900-7;EMPRESA DE SERVICIOS DE INFORMATICA S A;939;01/10/2018;01/10/2018 13:53:22;04/10/2018 10:38:02;;0;204237;38805;243042;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79108332;;;;;
6;33;Del Giro;87996400-8;INGENIERIA Y CONSTRUCCIONES MAS ERRAZURIZ LTDA.;940;01/10/2018;01/10/2018 13:55:40;;;0;7797392;1481504;9278896;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79108332;;;;;
7;33;Del Giro;82332100-7;OPTICAS OPV SPA;941;01/10/2018;01/10/2018 13:59:35;;;0;2872723;545817;3418540;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79108332;;;;;
8;33;Del Giro;82332100-7;OPTICAS OPV SPA;942;01/10/2018;01/10/2018 14:01:01;;;0;4705794;894101;5599895;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79108332;;;;;
9;33;Del Giro;80909400-6;RCL SUDAMERICANA S.A.;943;01/10/2018;02/10/2018 14:35:48;;;0;328311;62379;390690;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79108332;;;;;
10;33;Del Giro;80909400-6;RCL SUDAMERICANA S.A.;944;01/10/2018;02/10/2018 14:38:12;;;0;3926055;745950;4672005;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79108332;;;;;
11;33;Del Giro;80909400-6;RCL SUDAMERICANA S.A.;945;01/10/2018;02/10/2018 15:19:32;;;0;404370;76830;481200;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79108332;;;;;
12;33;Del Giro;78510370-K;COMERCIAL ROM MAYER Y COMPANIA SPA;946;01/10/2018;02/10/2018 15:48:42;;;0;193205;36709;229914;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79108332;;;;;
13;33;Del Giro;85412900-7;EMPRESA DE SERVICIOS DE INFORMATICA S A;947;01/10/2018;04/10/2018 09:55:50;10/10/2018 16:28:44;;0;1257842;238990;1496832;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79108332;;;;;
14;33;Del Giro;87996400-8;INGENIERIA Y CONSTRUCCIONES MAS ERRAZURIZ LTDA.;948;01/10/2018;08/10/2018 15:00:23;;08/10/2018 17:45:29;0;890816;169255;1060071;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79108332;;;;;
15;34;Del Giro;76596356-7;IT FACTORY SPA;34;01/10/2018;01/10/2018 14:02:45;;;1231167;0;0;1231167;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79108332;;;;;
