Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;77461750-7;LIEBHERR CHILE SPA;182;01/10/2018;01/10/2018 12:46:52;;;0;1452405;275957;1728362;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79264635;;;;;
2;33;Del Giro;77461750-7;LIEBHERR CHILE SPA;183;01/10/2018;01/10/2018 12:50:24;;;0;179000;34010;213010;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79264635;;;;;
3;33;Del Giro;96843140-4;DISTRIBUIDORA CUMMINS CHILE S A;184;08/10/2018;08/10/2018 21:08:14;;;0;441000;83790;524790;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79264635;;;;;
4;33;Del Giro;77461750-7;LIEBHERR CHILE SPA;185;10/10/2018;10/10/2018 10:28:05;;;0;1961920;372765;2334685;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79264635;;;;;
5;33;Del Giro;77461750-7;LIEBHERR CHILE SPA;186;10/10/2018;10/10/2018 10:44:01;;;0;1986757;377484;2364241;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79264635;;;;;
6;33;Del Giro;76314140-3;MINERA EL WAY S.A.;187;10/10/2018;10/10/2018 14:16:50;11/10/2018 16:27:47;;0;749000;142310;891310;0;0;0;0;0;-;0;0;0;0;52;92;;;0;;0;2;0;0;0;;;;79264635;;;;;
7;33;Del Giro;76314140-3;MINERA EL WAY S.A.;188;23/10/2018;23/10/2018 15:16:08;24/10/2018 17:20:11;;0;289000;54910;343910;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79264635;;;;;
8;33;Del Giro;76314140-3;MINERA EL WAY S.A.;189;23/10/2018;23/10/2018 15:17:59;24/10/2018 17:20:03;;0;295000;56050;351050;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79264635;;;;;
9;33;Del Giro;76492400-2;KOMATSU REMAN CENTER CHILE S.A.;190;23/10/2018;23/10/2018 15:20:20;;;0;3260900;619571;3880471;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79264635;;;;;
10;33;Del Giro;76314140-3;MINERA EL WAY S.A.;191;24/10/2018;24/10/2018 10:10:27;24/10/2018 17:23:52;;0;109000;20710;129710;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79264635;;;;;
