Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;77086090-3;TECNOVIAL S A;629;01/10/2018;01/10/2018 13:44:42;;;0;64000;12160;76160;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79540228;;;;;
2;33;Del Giro;84476300-K;INDUSTRIA DE ALIMENTOS DOS EN UNO SOCIEDAD ANONIMA;630;01/10/2018;01/10/2018 14:15:11;;;0;135000;25650;160650;0;0;0;0;0;-;0;0;0;0;52;943;;;0;;0;2;0;0;0;;;;79540228;;;;;
3;33;Del Giro;84865000-5;R Y Q INGENIERIA S A;631;01/10/2018;01/10/2018 16:01:16;02/10/2018 12:45:07;;0;275800;52402;328202;0;0;0;0;0;-;0;0;0;0;52;963;;;0;;0;2;0;0;0;;;;79540228;;;;;
4;33;Del Giro;84865000-5;R Y Q INGENIERIA S A;632;03/10/2018;03/10/2018 08:42:10;;;0;275800;52402;328202;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79540228;;;;;
5;33;Del Giro;77086090-3;TECNOVIAL S A;633;04/10/2018;04/10/2018 11:44:27;11/10/2018 16:29:34;;0;113600;21584;135184;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79540228;;;;;
6;33;Del Giro;84865000-5;R Y Q INGENIERIA S A;634;10/10/2018;10/10/2018 09:52:00;17/10/2018 16:27:22;;0;85000;16150;101150;0;0;0;0;0;-;0;0;0;0;52;973;;;0;;0;2;0;0;0;;;;79540228;;;;;
7;33;Del Giro;84865000-5;R Y Q INGENIERIA S A;635;10/10/2018;10/10/2018 09:53:32;18/10/2018 16:13:05;;0;28000;5320;33320;0;0;0;0;0;-;0;0;0;0;52;972;;;0;;0;2;0;0;0;;;;79540228;;;;;
8;33;Del Giro;84865000-5;R Y Q INGENIERIA S A;636;10/10/2018;10/10/2018 09:55:13;17/10/2018 16:33:36;;0;28000;5320;33320;0;0;0;0;0;-;0;0;0;0;52;971;;;0;;0;2;0;0;0;;;;79540228;;;;;
9;33;Del Giro;84865000-5;R Y Q INGENIERIA S A;637;10/10/2018;10/10/2018 10:05:34;17/10/2018 16:36:04;;0;42000;7980;49980;0;0;0;0;0;-;0;0;0;0;52;975;;;0;;0;2;0;0;0;;;;79540228;;;;;
10;33;Del Giro;84865000-5;R Y Q INGENIERIA S A;638;11/10/2018;11/10/2018 14:50:22;;;0;14000;2660;16660;0;0;0;0;0;-;0;0;0;0;52;976;;;0;;0;2;0;0;0;;;;79540228;;;;;
11;33;Del Giro;76568660-1;EASY RETAIL S.A. .-;639;11/10/2018;11/10/2018 14:57:47;;;0;344000;65360;409360;0;0;0;0;0;-;0;0;0;0;52;978;;;0;;0;2;0;0;0;;;;79540228;;;;;
