Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;85208700-5;RENTAEQUIPOS LEASING S A;865;01/10/2018;01/10/2018 15:41:32;;;0;14000;2660;16660;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79567810;;;;;
2;33;Del Giro;85208700-5;RENTAEQUIPOS LEASING S A;866;03/10/2018;03/10/2018 15:53:07;;;0;5882;1118;7000;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79567810;;;;;
3;33;Del Giro;85208700-5;RENTAEQUIPOS LEASING S A;867;03/10/2018;03/10/2018 16:08:33;;;0;103000;19570;122570;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79567810;;;;;
4;33;Del Giro;60506000-5;POLICIA DE INVESTIGACIONES DE CHILE;868;03/10/2018;03/10/2018 17:57:14;;;0;16807;3193;20000;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79567810;;;;;
5;33;Del Giro;85208700-5;RENTAEQUIPOS LEASING S A;869;04/10/2018;04/10/2018 18:08:49;;;0;38000;7220;45220;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79567810;;;;;
6;33;Del Giro;76459113-5;LANAS SERVICIOS INDUSTRIALES A LA MINERÍA SPA;870;05/10/2018;05/10/2018 12:49:37;;;0;82365;15649;98014;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79567810;;;;;
7;33;Del Giro;76459113-5;LANAS SERVICIOS INDUSTRIALES A LA MINERÍA SPA;871;05/10/2018;05/10/2018 17:43:22;;;0;82365;15649;98014;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79567810;;;;;
8;33;Del Giro;76422095-1;SOLUCIONES DE INGENIERIA Y CONSTRUCCION LIMITADA;872;08/10/2018;08/10/2018 11:47:09;;;0;169832;32268;202100;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;79567810;;;;;
9;33;Del Giro;85208700-5;RENTAEQUIPOS LEASING S A;873;08/10/2018;08/10/2018 15:59:43;;;0;227600;43244;270844;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79567810;;;;;
10;33;Del Giro;85208700-5;RENTAEQUIPOS LEASING S A;874;08/10/2018;08/10/2018 16:06:29;;;0;277600;52744;330344;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79567810;;;;;
11;33;Del Giro;85208700-5;RENTAEQUIPOS LEASING S A;875;08/10/2018;08/10/2018 16:10:44;;;0;477300;90687;567987;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79567810;;;;;
12;33;Del Giro;76316001-7;CONTRATISTA EN CONSTRUCCION Y ELECTRICIDAD CARLOS MIRANDA MOLINA E.I.R;876;09/10/2018;09/10/2018 11:59:08;;;0;21008;3992;25000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;79567810;;;;;
13;33;Del Giro;23788916-9;FRANCIS HERNANDEZ TAMARGO;877;09/10/2018;09/10/2018 16:40:19;;;0;16807;3193;20000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;79567810;;;;;
14;33;Del Giro;85208700-5;RENTAEQUIPOS LEASING S A;878;09/10/2018;09/10/2018 17:23:30;;;0;35000;6650;41650;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79567810;;;;;
15;33;Del Giro;76218509-1;REPARACIONES REPAIRCO LIMITADA;879;10/10/2018;10/10/2018 10:47:05;16/10/2018 09:06:27;;0;138918;26394;165312;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79567810;;;;;
16;33;Del Giro;96827370-1;COSEMAR S A;880;12/10/2018;12/10/2018 15:40:54;16/10/2018 15:36:49;;0;59369;11280;70649;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79567810;;;;;
17;33;Del Giro;85208700-5;RENTAEQUIPOS LEASING S A;881;12/10/2018;12/10/2018 18:03:45;;;0;77000;14630;91630;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79567810;;;;;
18;33;Del Giro;85208700-5;RENTAEQUIPOS LEASING S A;882;12/10/2018;12/10/2018 18:08:49;;;0;116434;22122;138556;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79567810;;;;;
