Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;96633780-K;MARINE HARVEST CHILE S A;354;04/10/2018;04/10/2018 10:10:40;;;0;4000000;760000;4760000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79568291;;;;;
2;33;Del Giro;96509550-0;AGUAS CLARAS S A;355;08/10/2018;08/10/2018 16:11:18;;;0;10200000;1938000;12138000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79568291;;;;;
3;33;Del Giro;87752000-5;GRANJA MARINA TORNAGALEONES S A;356;08/10/2018;08/10/2018 16:30:06;;;0;12170000;2312300;14482300;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79568291;;;;;
4;33;Del Giro;87752000-5;GRANJA MARINA TORNAGALEONES S A;357;09/10/2018;09/10/2018 11:32:38;;;0;2155000;409450;2564450;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79568291;;;;;
5;33;Del Giro;87752000-5;GRANJA MARINA TORNAGALEONES S A;359;09/10/2018;09/10/2018 11:38:35;;;0;580000;110200;690200;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79568291;;;;;
6;33;Del Giro;87752000-5;GRANJA MARINA TORNAGALEONES S A;360;09/10/2018;09/10/2018 11:42:18;;;0;3960000;752400;4712400;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79568291;;;;;
7;33;Del Giro;87752000-5;GRANJA MARINA TORNAGALEONES S A;361;09/10/2018;09/10/2018 11:45:19;;;0;1740000;330600;2070600;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79568291;;;;;
8;33;Del Giro;87752000-5;GRANJA MARINA TORNAGALEONES S A;362;11/10/2018;11/10/2018 17:03:33;;;0;10650000;2023500;12673500;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79568291;;;;;
9;33;Del Giro;87752000-5;GRANJA MARINA TORNAGALEONES S A;364;11/10/2018;11/10/2018 17:12:24;;;0;24790000;4710100;29500100;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79568291;;;;;
10;33;Del Giro;96633780-K;MARINE HARVEST CHILE S A;365;16/10/2018;16/10/2018 14:39:07;;;0;3260000;619400;3879400;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79568291;;;;;
11;33;Del Giro;79809870-5;SALMONES TECMAR S A;366;16/10/2018;16/10/2018 14:57:48;;;0;2180000;414200;2594200;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79568291;;;;;
12;33;Del Giro;79809870-5;SALMONES TECMAR S A;367;16/10/2018;16/10/2018 15:01:50;;;0;3840000;729600;4569600;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79568291;;;;;
13;33;Del Giro;79809870-5;SALMONES TECMAR S A;368;16/10/2018;16/10/2018 15:05:54;;;0;5175000;983250;6158250;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79568291;;;;;
14;33;Del Giro;96633780-K;MARINE HARVEST CHILE S A;369;18/10/2018;18/10/2018 14:11:16;;;0;4200000;798000;4998000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79568291;;;;;
