Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;76387797-3;COMERCIALIZADORA MATCHING DEALS LIMITADA;1131;01/10/2018;01/10/2018 10:55:18;;;0;256000;48640;304640;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;1;0;0;0;;;;0;;;;;
2;33;Del Giro;61608404-6;Instituto Nacional del Cáncer;1132;01/10/2018;01/10/2018 11:05:16;;;0;867000;164730;1031730;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
3;33;Del Giro;96662450-7;Clinica Isamedica S.A.;1133;01/10/2018;01/10/2018 13:05:17;03/10/2018 10:36:39;;0;172500;32775;205275;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
4;33;Del Giro;61606901-2;Hospital Talca;1134;01/10/2018;01/10/2018 13:10:29;;;0;162000;30780;192780;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
5;33;Del Giro;61607202-1;Hospital Las Higueras;1135;01/10/2018;01/10/2018 13:25:07;;;0;133000;25270;158270;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
6;33;Del Giro;92051000-0;Instituto de Diagnostico S.A.;1136;01/10/2018;01/10/2018 13:35:19;;;0;966950;183721;1150671;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
7;33;Del Giro;92051000-0;Instituto de Diagnostico S.A.;1137;01/10/2018;01/10/2018 13:40:27;;;0;13800;2622;16422;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
8;33;Del Giro;96885930-7;Clinica Bicentenario S.P.A.;1138;02/10/2018;02/10/2018 09:40:26;;;0;88000;16720;104720;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
9;33;Del Giro;61608502-6;Complejo Asistencial Dr. Sotero del Río;1139;02/10/2018;02/10/2018 09:50:23;;;0;182500;34675;217175;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
10;33;Del Giro;61606000-7;Hospital Dr. Juan Noe;1140;02/10/2018;02/10/2018 11:55:17;;;0;52400;9956;62356;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
11;33;Del Giro;61975100-0;Hospital de Puerto Montt;1141;02/10/2018;02/10/2018 12:00:19;;;0;276000;52440;328440;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
12;33;Del Giro;61975100-0;Hospital de Puerto Montt;1142;02/10/2018;02/10/2018 12:15:42;;;0;920000;174800;1094800;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
13;33;Del Giro;76387797-3;COMERCIALIZADORA MATCHING DEALS LIMITADA;1143;02/10/2018;02/10/2018 12:15:43;;;0;96000;18240;114240;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;1;0;0;0;;;;0;;;;;
14;33;Del Giro;76387797-3;COMERCIALIZADORA MATCHING DEALS LIMITADA;1144;03/10/2018;03/10/2018 08:50:07;;;0;310000;58900;368900;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;1;0;0;0;;;;0;;;;;
15;33;Del Giro;61602260-1;Hospital Base Osorno;1146;03/10/2018;03/10/2018 15:30:16;;;0;592000;112480;704480;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
16;33;Del Giro;61602280-6;Servicio Nacional de Salud Hospital de Coyhaique;1147;03/10/2018;03/10/2018 15:35:10;;;0;100800;19152;119952;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
17;33;Del Giro;96662450-7;Clinica Isamedica S.A.;1145;03/10/2018;03/10/2018 15:55:19;09/10/2018 13:01:04;;0;139000;26410;165410;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
18;33;Del Giro;92051000-0;Instituto de Diagnostico S.A.;1148;04/10/2018;04/10/2018 09:10:10;;;0;173000;32870;205870;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
