Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;76255739-8;FGS MAQUINARIAS SPA;2647;02/10/2018;02/10/2018 09:03:24;03/10/2018 13:51:01;;0;610000;115900;725900;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79602673;;;;;
2;33;Del Giro;76379913-1;DOS PUNTOS EVENTOS LIMITADA;2648;04/10/2018;04/10/2018 17:00:29;;;0;110000;20900;130900;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79602673;;;;;
3;33;Del Giro;76185906-4;MAURICIO ELIAS VALENZUELA ITURRA-ORGANIZACION Y PRODUCCION DE EVENTOS;2649;05/10/2018;05/10/2018 16:08:54;;;0;280000;53200;333200;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79602673;;;;;
4;33;Del Giro;76745503-8;COMERCIAL SANIPAZ SPA;2650;08/10/2018;08/10/2018 17:57:36;;;0;526360;100008;626368;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79602673;;;;;
5;33;Del Giro;76517379-5;APARCADEROS CUSTODIAS NACIONALES LIMITADA;2651;10/10/2018;10/10/2018 15:32:43;;;0;60000;11400;71400;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79602673;;;;;
6;33;Del Giro;76659200-7;CONSTRUCTORA PAZ SPA;2652;18/10/2018;18/10/2018 15:25:38;;;0;70000;13300;83300;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79602673;;;;;
7;33;Del Giro;76659200-7;CONSTRUCTORA PAZ SPA;2653;18/10/2018;18/10/2018 15:34:56;;;0;70000;13300;83300;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79602673;;;;;
8;33;Del Giro;76659200-7;CONSTRUCTORA PAZ SPA;2654;18/10/2018;18/10/2018 15:45:48;;;0;70000;13300;83300;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79602673;;;;;
9;33;Del Giro;76255739-8;FGS MAQUINARIAS SPA;2655;18/10/2018;18/10/2018 15:55:13;22/10/2018 16:55:21;;0;85000;16150;101150;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;79602673;;;;;
10;33;Del Giro;76745503-8;COMERCIAL SANIPAZ SPA;2656;23/10/2018;23/10/2018 11:39:43;;;0;472500;89775;562275;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;79602673;;;;;
