Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;60901012-6;SECRETARIA MINISTERIAL DE EDUCACION DE L;1157;01/10/2018;01/10/2018 21:29:42;;;0;190380;36172;226552;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;67130330;;;;;
2;33;Del Giro;60901012-6;SECRETARIA MINISTERIAL DE EDUCACION DE L;1158;01/10/2018;01/10/2018 21:32:57;;;0;57133;10855;67988;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;67130330;;;;;
3;33;Del Giro;60901012-6;SECRETARIA MINISTERIAL DE EDUCACION DE L;1159;01/10/2018;01/10/2018 21:34:47;;;0;391511;74387;465898;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;67130330;;;;;
4;33;Del Giro;60901012-6;SECRETARIA MINISTERIAL DE EDUCACION DE L;1160;01/10/2018;01/10/2018 21:37:13;;;0;217170;41262;258432;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;67130330;;;;;
5;33;Del Giro;60901012-6;SECRETARIA MINISTERIAL DE EDUCACION DE L;1161;01/10/2018;01/10/2018 21:39:21;;;0;1250415;237579;1487994;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;67130330;;;;;
6;33;Del Giro;60901012-6;SECRETARIA MINISTERIAL DE EDUCACION DE L;1162;01/10/2018;01/10/2018 21:43:35;;;0;1130652;214824;1345476;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;67130330;;;;;
7;33;Del Giro;60901012-6;SECRETARIA MINISTERIAL DE EDUCACION DE L;1163;01/10/2018;01/10/2018 21:46:15;;;0;1351800;256842;1608642;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;67130330;;;;;
8;33;Del Giro;69259800-8;CORP CULTURAL DE PUERTO MONTT;1164;01/10/2018;01/10/2018 22:21:00;;;0;950880;180667;1131547;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;67130330;;;;;
9;33;Del Giro;69259800-8;CORP CULTURAL DE PUERTO MONTT;1165;01/10/2018;01/10/2018 22:24:49;;;0;1039500;197505;1237005;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;67130330;;;;;
10;33;Del Giro;69220600-2;I MUNICIPALIDAD DE CALBUCO;1166;01/10/2018;01/10/2018 22:55:19;02/10/2018 16:33:16;;0;922056;175191;1097247;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;67130330;;;;;
11;33;Del Giro;60511102-5;GOBERNACION PROVINCIAL DE OSORNO;1167;01/10/2018;01/10/2018 22:57:55;;;0;633665;120396;754061;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;67130330;;;;;
12;33;Del Giro;61979130-4;DEPARTAMENTO PROVINCIAL DE EDUCACION DE RANCO;1168;02/10/2018;02/10/2018 10:49:59;;;0;97126;18454;115580;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;67130330;;;;;
13;33;Del Giro;61979130-4;DEPARTAMENTO PROVINCIAL DE EDUCACION DE RANCO;1169;02/10/2018;02/10/2018 10:55:31;;;0;298195;56657;354852;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;67130330;;;;;
