Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;84078800-8;IMPORTADORA INDRA S.A.;2217;01/10/2018;01/10/2018 12:49:22;03/10/2018 10:00:21;;0;1067012;202732;1269744;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;;;;
2;33;Del Giro;77618380-6;AGROFRUTA LIMITADA;2218;01/10/2018;01/10/2018 12:49:23;;;0;219074;41624;260698;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;;;;
3;33;Del Giro;99531430-4;INVERSIONES B.O. S.A.;2223;01/10/2018;01/10/2018 12:49:27;;;0;31700;6023;37723;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;;;;
4;33;Del Giro;96771340-6;AGROFRUTA S.A.;2225;01/10/2018;01/10/2018 12:49:29;;;0;68684;13050;81734;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;;;;
5;33;Del Giro;96843010-6;TECNOIMAGEN SA;2224;01/10/2018;01/10/2018 12:49:28;;;0;164156;31190;195346;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;;;;
6;33;Del Giro;76419305-9;BLUETECH CONSULTING SPA;2219;01/10/2018;01/10/2018 12:49:24;;;0;465108;88371;553479;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;;;;
7;33;Del Giro;99567620-6;TERMINAL PUERTO ARICA S.A.;2221;01/10/2018;01/10/2018 12:49:25;03/10/2018 16:18:08;;0;1285886;244318;1530204;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;;;;
8;33;Del Giro;99568400-4;ANASAC COMERCIAL SPA;2220;01/10/2018;01/10/2018 12:49:25;;;0;161420;30670;192090;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
9;33;Del Giro;99555660-K;CONSORCIO TARJETAS DE CREDITOS S.A;2222;01/10/2018;01/10/2018 12:49:26;;;0;136796;25991;162787;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;;;;
10;33;Del Giro;96545040-8;PRODUCTOS DEL MAR VENTISQUEROS S.A.;2226;01/10/2018;01/10/2018 12:49:29;;;0;629263;119560;748823;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;;;;
11;33;Del Giro;93129000-2;COLCHONES ROSEN SAIC;2227;01/10/2018;01/10/2018 12:49:30;;;0;1641556;311896;1953452;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;;;;
12;33;Del Giro;91614000-2;CIA MINERA CERRO NEGRO S A;2228;01/10/2018;01/10/2018 12:49:31;09/10/2018 09:05:16;;0;136796;25991;162787;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;0;0;0;0;;;;0;;;;;
