Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;76262460-5;CONSTRUCTORA M3 S.A.;1220;03/10/2018;03/10/2018 10:11:24;;;0;88000;16720;104720;0;0;0;0;0;-;0;0;0;0;52;1154;;;0;;0;2;0;0;0;;;;80438816;;;;;
2;33;Del Giro;76262460-5;CONSTRUCTORA M3 S.A.;1221;03/10/2018;03/10/2018 10:13:03;;;0;103000;19570;122570;0;0;0;0;0;-;0;0;0;0;52;1155;;;0;;0;2;0;0;0;;;;80438816;;;;;
3;33;Del Giro;76121405-5;PALOMINOS INGENIERIA Y CONSTRUCCION LIMITADA;1222;03/10/2018;03/10/2018 10:17:44;;;0;642220;122022;764242;0;0;0;0;0;-;0;0;0;0;52;1132;;;0;;0;2;0;0;0;;;;80438816;;;;;
4;33;Del Giro;96543160-8;EQUIPOS TECNICOS Y DE COMUNICACIONES S A;1223;04/10/2018;04/10/2018 15:28:14;;;0;124100;23579;147679;0;0;0;0;0;-;0;0;0;0;52;1157;;;0;;0;2;0;0;0;;;;80438816;;;;;
5;33;Del Giro;89812100-3;BROTEC CONSTRUCCION SPA;1224;04/10/2018;04/10/2018 15:29:38;;;0;334125;63484;397609;0;0;0;0;0;-;0;0;0;0;52;1159;;;0;;0;2;0;0;0;;;;80438816;;;;;
6;33;Del Giro;76262460-5;CONSTRUCTORA M3 S.A.;1225;04/10/2018;04/10/2018 15:32:19;;;0;385790;73300;459090;0;0;0;0;0;-;0;0;0;0;52;1160;;;0;;0;2;0;0;0;;;;80438816;;;;;
7;33;Del Giro;76121405-5;PALOMINOS INGENIERIA Y CONSTRUCCION LIMITADA;1226;04/10/2018;04/10/2018 15:34:26;;;0;232440;44164;276604;0;0;0;0;0;-;0;0;0;0;52;1161;;;0;;0;2;0;0;0;;;;80438816;;;;;
8;33;Del Giro;76121405-5;PALOMINOS INGENIERIA Y CONSTRUCCION LIMITADA;1227;04/10/2018;04/10/2018 15:36:09;;;0;377922;71805;449727;0;0;0;0;0;-;0;0;0;0;52;1162;;;0;;0;2;0;0;0;;;;80438816;;;;;
9;33;Del Giro;79578400-4;CONSTRUCTORA ARMAS LIMITADA;1228;04/10/2018;04/10/2018 15:42:28;09/10/2018 12:21:03;;0;420000;79800;499800;0;0;0;0;0;-;0;0;0;0;52;1163;;;0;;0;2;0;0;0;;;;80438816;;;;;
10;33;Del Giro;79578400-4;CONSTRUCTORA ARMAS LIMITADA;1229;04/10/2018;04/10/2018 15:43:24;10/10/2018 10:51:01;;0;122980;23366;146346;0;0;0;0;0;-;0;0;0;0;52;1164;;;0;;0;2;0;0;0;;;;80438816;;;;;
11;33;Del Giro;79578400-4;CONSTRUCTORA ARMAS LIMITADA;1230;09/10/2018;09/10/2018 08:46:35;12/10/2018 14:16:52;;0;187620;35648;223268;0;0;0;0;0;-;0;0;0;0;52;1100;;;0;;0;2;0;0;0;;;;80438816;;;;;
12;33;Del Giro;79578400-4;CONSTRUCTORA ARMAS LIMITADA;1231;09/10/2018;09/10/2018 08:46:46;11/10/2018 17:06:36;;0;481485;91482;572967;0;0;0;0;0;-;0;0;0;0;52;1169;;;0;;0;2;0;0;0;;;;80438816;;;;;
13;33;Del Giro;79578400-4;CONSTRUCTORA ARMAS LIMITADA;1232;09/10/2018;09/10/2018 08:48:43;;11/10/2018 17:20:36;0;500782;95149;595931;0;0;0;0;0;-;0;0;0;0;52;1145;;;0;;0;2;0;0;0;;;;80438816;;;;;
14;33;Del Giro;79578400-4;CONSTRUCTORA ARMAS LIMITADA;1233;09/10/2018;09/10/2018 08:51:21;11/10/2018 17:23:04;;0;119674;22738;142412;0;0;0;0;0;-;0;0;0;0;52;1146;;;0;;0;2;0;0;0;;;;80438816;;;;;
15;33;Del Giro;89812100-3;BROTEC CONSTRUCCION SPA;1234;09/10/2018;09/10/2018 08:56:15;16/10/2018 22:27:52;;0;224000;42560;266560;0;0;0;0;0;-;0;0;0;0;52;1167;;;0;;0;2;0;0;0;;;;80438816;;;;;
16;33;Del Giro;76278246-4;ACEROS Y CUBIERTAS NACIONALES S.A.;1235;09/10/2018;09/10/2018 08:59:13;17/10/2018 16:07:38;;0;173436;32953;206389;0;0;0;0;0;-;0;0;0;0;52;1168;;;0;;0;2;0;0;0;;;;80438816;;;;;
17;33;Del Giro;89812100-3;BROTEC CONSTRUCCION SPA;1236;09/10/2018;09/10/2018 09:04:31;16/10/2018 22:28:20;;0;131640;25012;156652;0;0;0;0;0;-;0;0;0;0;52;1166;;;0;;0;2;0;0;0;;;;80438816;;;;;
18;33;Del Giro;79578400-4;CONSTRUCTORA ARMAS LIMITADA;1237;10/10/2018;10/10/2018 09:05:57;11/10/2018 16:16:21;;0;102068;19393;121461;0;0;0;0;0;-;0;0;0;0;52;1165;;;0;;0;2;0;0;0;;;;80438816;;;;;
19;33;Del Giro;79578400-4;CONSTRUCTORA ARMAS LIMITADA;1238;11/10/2018;11/10/2018 10:52:32;;16/10/2018 09:07:37;0;102068;19393;121461;0;0;0;0;0;-;0;0;0;0;52;1165;;;0;;0;2;0;0;0;;;;80438816;;;;;
20;33;Del Giro;79578400-4;CONSTRUCTORA ARMAS LIMITADA;1239;11/10/2018;11/10/2018 10:58:26;16/10/2018 09:11:13;;0;36400;6916;43316;0;0;0;0;0;-;0;0;0;0;52;1171;;;0;;0;2;0;0;0;;;;80438816;;;;;
21;33;Del Giro;89812100-3;BROTEC CONSTRUCCION SPA;1240;11/10/2018;11/10/2018 11:03:56;16/10/2018 12:01:53;;0;128400;24396;152796;0;0;0;0;0;-;0;0;0;0;52;1126;;;0;;0;2;0;0;0;;;;80438816;;;;;
22;33;Del Giro;79578400-4;CONSTRUCTORA ARMAS LIMITADA;1241;16/10/2018;16/10/2018 12:13:31;;17/10/2018 16:46:21;0;1788652;339844;2128496;0;0;0;0;0;-;0;0;0;0;52;1173;;;0;;0;2;0;0;0;;;;80438816;;;;;
23;33;Del Giro;79578400-4;CONSTRUCTORA ARMAS LIMITADA;1242;16/10/2018;16/10/2018 12:21:49;;19/10/2018 10:29:28;0;366000;69540;435540;0;0;0;0;0;-;0;0;0;0;52;1174;;;0;;0;2;0;0;0;;;;80438816;;;;;
24;33;Del Giro;76121405-5;PALOMINOS INGENIERIA Y CONSTRUCCION LIMITADA;1243;16/10/2018;16/10/2018 12:22:18;;;0;677520;128729;806249;0;0;0;0;0;-;0;0;0;0;52;1176;;;0;;0;2;0;0;0;;;;80438816;;;;;
25;33;Del Giro;89812100-3;BROTEC CONSTRUCCION SPA;1245;16/10/2018;16/10/2018 12:28:00;24/10/2018 13:05:58;;0;37400;7106;44506;0;0;0;0;0;-;0;0;0;0;52;1172;;;0;;0;2;0;0;0;;;;80438816;;;;;
26;33;Del Giro;79578400-4;CONSTRUCTORA ARMAS LIMITADA;1246;17/10/2018;17/10/2018 10:45:35;;18/10/2018 15:24:27;0;500782;95149;595931;0;0;0;0;0;-;0;0;0;0;52;1145;;;0;;0;2;0;0;0;;;;80438816;;;;;
27;33;Del Giro;89812100-3;BROTEC CONSTRUCCION SPA;1248;18/10/2018;18/10/2018 11:52:15;;;0;386754;73483;460237;0;0;0;0;0;-;0;0;0;0;52;1178;;;0;;0;2;0;0;0;;;;80438816;;;;;
28;33;Del Giro;76262460-5;CONSTRUCTORA M3 S.A.;1251;18/10/2018;18/10/2018 11:57:52;;;0;42400;8056;50456;0;0;0;0;0;-;0;0;0;0;52;1182;;;0;;0;2;0;0;0;;;;80438816;;;;;
29;33;Del Giro;76262460-5;CONSTRUCTORA M3 S.A.;1252;18/10/2018;18/10/2018 11:58:20;;;0;446540;84843;531383;0;0;0;0;0;-;0;0;0;0;52;1180;;;0;;0;2;0;0;0;;;;80438816;;;;;
30;33;Del Giro;89812100-3;BROTEC CONSTRUCCION SPA;1247;18/10/2018;18/10/2018 11:46:55;;;0;212000;40280;252280;0;0;0;0;0;-;0;0;0;0;52;1177;;;0;;0;2;0;0;0;;;;80438816;;;;;
31;33;Del Giro;76262460-5;CONSTRUCTORA M3 S.A.;1250;18/10/2018;18/10/2018 11:56:18;;;0;47800;9082;56882;0;0;0;0;0;-;0;0;0;0;52;1181;;;0;;0;2;0;0;0;;;;80438816;;;;;
32;33;Del Giro;76262460-5;CONSTRUCTORA M3 S.A.;1249;18/10/2018;18/10/2018 11:56:23;;;0;336360;63908;400268;0;0;0;0;0;-;0;0;0;0;52;1179;;;0;;0;2;0;0;0;;;;80438816;;;;;
33;33;Del Giro;79578400-4;CONSTRUCTORA ARMAS LIMITADA;1253;22/10/2018;22/10/2018 08:26:57;24/10/2018 17:24:50;;0;1440700;273733;1714433;0;0;0;0;0;-;0;0;0;0;52;1173;;;0;;0;2;0;0;0;;;;80438816;;;;;
