Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;76059250-1;SOC DE TRANSPORTES ALIRO GUARDA MUNDACA LIMITADA;22;02/10/2018;02/10/2018 08:54:37;03/10/2018 17:17:55;;0;140000;26600;166600;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;80570806;;;;;
2;33;Del Giro;76366888-6;SOTRALOP SPA;23;04/10/2018;04/10/2018 09:02:55;;;0;392597;74593;467190;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;80570806;;;;;
3;33;Del Giro;77267890-8;SERNA SERVICIOS Y TRANSPORTES LTDA.;24;11/10/2018;11/10/2018 09:46:48;;;0;500000;95000;595000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;80570806;;;;;
4;33;Del Giro;76381477-7;SWISSLOG PUNTA ARENAS SPA;25;18/10/2018;18/10/2018 08:38:04;;;0;232800;44232;277032;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;80570806;;;;;
5;33;Del Giro;76059250-1;SOC DE TRANSPORTES ALIRO GUARDA MUNDACA LIMITADA;26;19/10/2018;19/10/2018 09:18:43;19/10/2018 15:28:33;;0;70000;13300;83300;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;80570806;;;;;
6;33;Del Giro;76059250-1;SOC DE TRANSPORTES ALIRO GUARDA MUNDACA LIMITADA;27;19/10/2018;19/10/2018 09:22:12;19/10/2018 15:28:40;;0;100840;19160;120000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;80570806;;;;;
7;33;Del Giro;76059250-1;SOC DE TRANSPORTES ALIRO GUARDA MUNDACA LIMITADA;28;19/10/2018;19/10/2018 09:27:28;19/10/2018 15:28:40;;0;60000;11400;71400;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;80570806;;;;;
8;33;Del Giro;76059250-1;SOC DE TRANSPORTES ALIRO GUARDA MUNDACA LIMITADA;29;19/10/2018;19/10/2018 09:32:00;19/10/2018 15:28:40;;0;60000;11400;71400;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;80570806;;;;;
9;33;Del Giro;76059250-1;SOC DE TRANSPORTES ALIRO GUARDA MUNDACA LIMITADA;30;19/10/2018;19/10/2018 09:35:59;19/10/2018 15:28:33;;0;80000;15200;95200;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;80570806;;;;;
10;33;Del Giro;76381477-7;SWISSLOG PUNTA ARENAS SPA;31;22/10/2018;22/10/2018 09:20:17;22/10/2018 09:48:38;;0;600000;114000;714000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;80570806;;;;;
11;61;Del Giro;77267890-8;SERNA SERVICIOS Y TRANSPORTES LTDA.;3;16/10/2018;16/10/2018 09:30:36;;;0;500000;95000;595000;0;0;0;0;0;-;0;0;0;0;33;24;;;0;;0;0;0;0;0;;;;80570806;;;;;
