Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;69266500-7;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;170;01/10/2018;01/10/2018 17:56:49;;;0;1400180;266034;1666214;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
2;33;Del Giro;69266500-7;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;171;02/10/2018;02/10/2018 15:39:54;;;0;182750;34723;217473;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
3;33;Del Giro;69266500-7;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;172;02/10/2018;02/10/2018 15:49:53;;;0;280440;53284;333724;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
4;33;Del Giro;69266500-7;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;173;02/10/2018;02/10/2018 16:34:04;;;0;568450;108006;676456;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
5;33;Del Giro;69266500-7;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;174;02/10/2018;02/10/2018 18:04:56;;;0;1691360;321358;2012718;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
6;33;Del Giro;69266500-7;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;175;02/10/2018;02/10/2018 18:26:01;;;0;979860;186173;1166033;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
7;33;Del Giro;69140800-0;I MUNICIPALIDAD DE SAN NICOLAS;176;03/10/2018;03/10/2018 17:07:36;;;0;697479;132521;830000;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
8;33;Del Giro;69266500-7;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;177;03/10/2018;03/10/2018 17:24:59;;;0;12858000;2443020;15301020;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
9;33;Del Giro;69266500-7;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;178;04/10/2018;04/10/2018 11:28:45;;;0;59770;11356;71126;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
10;33;Del Giro;69266500-7;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;179;04/10/2018;04/10/2018 11:39:48;;;0;79920;15185;95105;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
11;33;Del Giro;69266500-7;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;180;04/10/2018;04/10/2018 12:06:20;;;0;250170;47532;297702;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
12;33;Del Giro;69266500-7;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;181;08/10/2018;08/10/2018 18:04:52;;;0;1087450;206616;1294066;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
13;33;Del Giro;69266500-7;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;182;08/10/2018;08/10/2018 18:12:22;;;0;127960;24312;152272;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
14;33;Del Giro;69266500-7;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;183;09/10/2018;09/10/2018 09:18:04;;;0;72990;13868;86858;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
15;33;Del Giro;69266500-7;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;184;09/10/2018;09/10/2018 09:23:13;;;0;164150;31189;195339;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
16;33;Del Giro;69266500-7;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;185;09/10/2018;09/10/2018 09:41:04;;;0;46130;8765;54895;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
17;33;Del Giro;69140500-1;ILUSTRE MUNICIPALIDAD DE SAN CARLOS;186;11/10/2018;11/10/2018 08:54:38;;;0;5358823;1018176;6376999;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
18;33;Del Giro;69266500-7;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;187;11/10/2018;11/10/2018 17:17:33;;;0;169315;32170;201485;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
19;33;Del Giro;69266500-7;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;188;11/10/2018;11/10/2018 18:31:01;;;0;167430;31812;199242;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
20;33;Del Giro;69266500-7;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;189;12/10/2018;12/10/2018 09:42:14;;;0;562790;106930;669720;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
21;33;Del Giro;69141300-4;I MUNICIPALIDAD DE SAN IGNACIO;190;16/10/2018;16/10/2018 09:17:53;;;0;2100840;399160;2500000;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
22;33;Del Giro;69266500-7;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;191;22/10/2018;22/10/2018 15:13:04;;;0;205130;38975;244105;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
23;33;Del Giro;69266500-7;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;192;23/10/2018;23/10/2018 09:01:57;;;0;118185;22455;140640;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
24;33;Del Giro;69266500-7;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;193;23/10/2018;23/10/2018 09:07:28;;;0;43690;8301;51991;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
25;33;Del Giro;74043000-9;JUNTA DE VECINOS SOLIDARIDAD N. 18;194;23/10/2018;23/10/2018 15:25:34;;;0;3856379;732712;4112828;0;0;0;0;0;-;0;0;0;0;0;;;;476263;;0;0;0;0;0;;;;0;;;;;
26;33;Del Giro;65125109-5;COMITE ENERGIA LIMPIA;195;23/10/2018;23/10/2018 15:38:08;;;0;28280108;5373221;30160735;0;0;0;0;0;-;0;0;0;0;0;;;;3492594;;0;0;0;0;0;;;;0;;;;;
27;33;Del Giro;65380000-2;JUNTA DE VECINOS PARQUE RESIDENCIAL BARCELONA;196;23/10/2018;23/10/2018 18:07:18;;;0;23755290;4513505;25335017;0;0;0;0;0;-;0;0;0;0;0;;;;2933778;;0;0;0;0;0;;;;0;;;;;
