Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;92011000-2;EMPRESA NACIONAL DE ENERGIA ENEX S.A.;307;03/10/2018;03/10/2018 18:00:19;;;0;23827003;4527131;28354134;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;67464322;;;;;
2;33;Del Giro;76455830-8;DIWATTS S.A;309;10/10/2018;10/10/2018 09:11:12;;;0;1214371;230730;1445101;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;67464322;;;;;
3;33;Del Giro;76455830-8;DIWATTS S.A;310;10/10/2018;10/10/2018 09:14:25;;;0;214013;40662;254675;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;67464322;;;;;
4;33;Del Giro;76455830-8;DIWATTS S.A;311;10/10/2018;10/10/2018 09:27:40;;;0;577450;109716;687166;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;67464322;;;;;
5;33;Del Giro;76455830-8;DIWATTS S.A;312;10/10/2018;10/10/2018 12:30:13;;;0;70000;13300;83300;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;67464322;;;;;
6;33;Del Giro;96557910-9;ALIMENTOS Y FRUTOS S A;313;22/10/2018;22/10/2018 12:43:27;;;0;9467826;1798887;11266713;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;67464322;;;;;
7;33;Del Giro;96557910-9;ALIMENTOS Y FRUTOS S A;314;22/10/2018;22/10/2018 12:59:59;;;0;175565;33357;208922;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;67464322;;;;;
8;33;Del Giro;96557910-9;ALIMENTOS Y FRUTOS S A;315;22/10/2018;22/10/2018 13:05:45;;;0;131779;25038;156817;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;67464322;;;;;
9;33;Del Giro;96557910-9;ALIMENTOS Y FRUTOS S A;316;22/10/2018;22/10/2018 13:07:41;;;0;500000;95000;595000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;67464322;;;;;
10;33;Del Giro;76455830-8;DIWATTS S.A;317;23/10/2018;23/10/2018 12:49:02;;;0;2181980;414576;2596556;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;67464322;;;;;
