Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;76268379-2;EXPORTADORA CONCEPCION DE METALES SPA.;79;04/10/2018;04/10/2018 23:32:29;;;0;5500000;1045000;6545000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;81624659;;;;;
2;33;Del Giro;76268379-2;EXPORTADORA CONCEPCION DE METALES SPA.;80;04/10/2018;04/10/2018 23:37:07;;;0;5000000;950000;5950000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;81624659;;;;;
3;33;Del Giro;76347767-3;SERVICIOS DE COMERCIO EXTERIOR Y LOGISTICA LIMITADA;81;04/10/2018;05/10/2018 00:01:57;;;0;220000;41800;261800;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;81624659;;;;;
4;33;Del Giro;76347767-3;SERVICIOS DE COMERCIO EXTERIOR Y LOGISTICA LIMITADA;82;05/10/2018;05/10/2018 00:08:13;;;0;440000;83600;523600;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;81624659;;;;;
5;33;Del Giro;76347767-3;SERVICIOS DE COMERCIO EXTERIOR Y LOGISTICA LIMITADA;84;05/10/2018;05/10/2018 00:29:29;;;0;220000;41800;261800;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;81624659;;;;;
6;33;Del Giro;76347767-3;SERVICIOS DE COMERCIO EXTERIOR Y LOGISTICA LIMITADA;85;05/10/2018;05/10/2018 00:36:10;;;0;440000;83600;523600;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;81624659;;;;;
7;33;Del Giro;76347767-3;SERVICIOS DE COMERCIO EXTERIOR Y LOGISTICA LIMITADA;86;05/10/2018;05/10/2018 00:49:23;;;0;195000;37050;232050;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;81624659;;;;;
8;33;Del Giro;76347767-3;SERVICIOS DE COMERCIO EXTERIOR Y LOGISTICA LIMITADA;87;05/10/2018;05/10/2018 01:06:29;;;0;220000;41800;261800;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;81624659;;;;;
9;33;Del Giro;76036777-K;MULTIMODAL LOGISTICS CHILE SPA;88;05/10/2018;05/10/2018 01:47:02;;;0;240000;45600;285600;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;81624659;;;;;
10;33;Del Giro;76036777-K;MULTIMODAL LOGISTICS CHILE SPA;89;05/10/2018;05/10/2018 01:48:12;;;0;240000;45600;285600;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;81624659;;;;;
