Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;61219000-3;EMPRESA DE TRANSPORTE DE PASAJEROS METRO S A;5023;01/10/2018;01/10/2018 10:13:05;;;0;659658;125335;784993;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;43919051;;;;;
2;33;Del Giro;61219000-3;EMPRESA DE TRANSPORTE DE PASAJEROS METRO S A;5024;01/10/2018;01/10/2018 10:29:00;;;0;1875000;356250;2231250;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;43919051;;;;;
3;33;Del Giro;81675600-6;COMERCIALIZADORA S A;5025;01/10/2018;01/10/2018 10:37:58;08/10/2018 12:28:30;;0;3204400;608836;3813236;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;43919051;;;;;
4;33;Del Giro;81675600-6;COMERCIALIZADORA S A;5026;01/10/2018;01/10/2018 10:42:54;08/10/2018 12:28:30;;0;260500;49495;309995;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;43919051;;;;;
5;33;Del Giro;76169568-1;INMOBILIARIA EL BOSQUE SPA.;5027;01/10/2018;01/10/2018 10:49:42;;;0;120000;22800;142800;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;43919051;;;;;
6;33;Del Giro;76265736-8;ADMINISTRADORA DE FONDOS DE PENSIONES PROVIDA S.A.;5028;01/10/2018;01/10/2018 11:07:36;;;0;785211;149190;934401;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;43919051;;;;;
7;33;Del Giro;76265736-8;ADMINISTRADORA DE FONDOS DE PENSIONES PROVIDA S.A.;5029;01/10/2018;01/10/2018 11:12:35;;;0;628169;119352;747521;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;43919051;;;;;
8;33;Del Giro;77312650-K;INMOBILIARIA JONES LANG LASALLE LIMITADA;5030;01/10/2018;01/10/2018 14:03:25;;;0;371700;70623;442323;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;43919051;;;;;
9;33;Del Giro;77312650-K;INMOBILIARIA JONES LANG LASALLE LIMITADA;5031;01/10/2018;01/10/2018 14:10:24;;;0;929000;176510;1105510;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;43919051;;;;;
10;33;Del Giro;76242774-5;INMOBILIARIA Y CONSTRUCTORA CBS S.A..-;5032;01/10/2018;01/10/2018 14:38:20;;;0;2046600;388854;2435454;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;43919051;;;;;
11;33;Del Giro;61219000-3;EMPRESA DE TRANSPORTE DE PASAJEROS METRO S A;5033;01/10/2018;01/10/2018 18:33:46;;;0;2272400;431756;2704156;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;43919051;;;;;
