Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;76283799-4;ARCHROMA CHILE LIMITADA;505;01/10/2018;01/10/2018 15:52:11;;;0;5993280;1138723;7132003;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;60165484;;;;;
2;33;Del Giro;78331390-1;INGENIERIA MAQUINARIA Y CONSTRUCCION LTDA;506;03/10/2018;03/10/2018 10:19:50;;;0;7029000;1335510;8364510;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;60165484;;;;;
3;33;Del Giro;96577460-2;EMPRESA DE AGUA POTABLE MELIPILLA NORTE;507;08/10/2018;08/10/2018 11:31:27;10/10/2018 08:31:42;;0;2161500;410685;2572185;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;60165484;;;;;
4;33;Del Giro;76283799-4;ARCHROMA CHILE LIMITADA;508;08/10/2018;08/10/2018 12:17:09;;;0;4609880;875877;5485757;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;60165484;;;;;
5;33;Del Giro;76411861-8;EL PUENTE - MAQUINARIA Y CONSTRUCCION SPA;509;08/10/2018;08/10/2018 12:31:22;;;0;1368000;259920;1627920;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;60165484;;;;;
6;33;Del Giro;77530260-7;AGRICOLA FERNANDEZ UNDURRAGA LIMITADA;510;08/10/2018;08/10/2018 12:48:18;;;0;9600000;1824000;11424000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;60165484;;;;;
7;33;Del Giro;96762780-1;SOC CONCESIONARIA AUTOPISTA DEL SOL S A;511;08/10/2018;08/10/2018 16:56:52;10/10/2018 09:24:08;;0;8139949;1546590;9686539;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;60165484;;;;;
8;33;Del Giro;96864850-0;AGRICOLA EL MAITENAL S A;512;10/10/2018;10/10/2018 08:26:55;11/10/2018 09:52:47;;0;9570000;1818300;11388300;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;60165484;;;;;
9;33;Del Giro;76283799-4;ARCHROMA CHILE LIMITADA;513;16/10/2018;16/10/2018 16:41:32;;;0;5944780;1129508;7074288;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;60165484;;;;;
10;33;Del Giro;76411861-8;EL PUENTE - MAQUINARIA Y CONSTRUCCION SPA;514;17/10/2018;17/10/2018 15:53:29;;;0;5440000;1033600;6473600;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;60165484;;;;;
11;33;Del Giro;76283799-4;ARCHROMA CHILE LIMITADA;515;22/10/2018;22/10/2018 17:55:28;;;0;2961280;562643;3523923;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;60165484;;;;;
12;46;Del Giro;52000616-8;COMERCIAL PRAXEDES DEL ROSARIO PIZARRO LANDERO E.I.R.L.;148594;04/10/2018;04/10/2018 11:49:04;;;0;56400;10716;56400;10716;;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;0;;38;10716;19;
