Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;34;Del Giro;96504160-5;NUEVA MASVIDA SA;513;01/10/2018;01/10/2018 12:54:44;;;176230;0;0;176230;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;64253068;;;;;
2;34;Del Giro;70095900-7;CORP NACIONAL DEL CANCER;514;08/10/2018;08/10/2018 09:44:55;09/10/2018 14:48:28;;330054;0;0;330054;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;64253068;;;;;
3;34;Del Giro;61603000-0;FONDO NACIONAL DE SALUD;515;12/10/2018;12/10/2018 11:42:45;;;680710;0;0;680710;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;64253068;;;;;
4;34;Del Giro;61603000-0;FONDO NACIONAL DE SALUD;517;12/10/2018;12/10/2018 11:45:08;;;560560;0;0;560560;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;64253068;;;;;
5;34;Del Giro;70892100-9;CORP.MUNICIPAL GABRIEL GONZALEZ VIDELA DE LA SERENA;518;16/10/2018;16/10/2018 13:38:11;;;7473000;0;0;7473000;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;64253068;;;;;
6;34;Del Giro;70360100-6;ASOC CHILENA DE SEGURIDAD;519;18/10/2018;18/10/2018 13:14:47;22/10/2018 11:07:25;;1036840;0;0;1036840;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;64253068;;;;;
7;34;Del Giro;76296619-0;COLMENA GOLDEN CROSS S.A.;521;22/10/2018;22/10/2018 12:12:36;;;266040;0;0;266040;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;64253068;;;;;
8;34;Del Giro;76296619-0;COLMENA GOLDEN CROSS S.A.;522;22/10/2018;22/10/2018 12:14:37;;;155380;0;0;155380;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;64253068;;;;;
9;34;Del Giro;96856780-2;ISAPRE CONSALUD S A;523;22/10/2018;22/10/2018 12:50:18;;;85050;0;0;85050;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;64253068;;;;;
10;34;Del Giro;61603000-0;FONDO NACIONAL DE SALUD;524;22/10/2018;22/10/2018 13:00:58;;;152900;0;0;152900;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;64253068;;;;;
11;34;Del Giro;96501450-0;ISAPRE CRUZ BLANCA S A;525;23/10/2018;23/10/2018 14:23:45;;;169030;0;0;169030;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;64253068;;;;;
12;34;Del Giro;96501450-0;ISAPRE CRUZ BLANCA S A;526;23/10/2018;23/10/2018 14:25:23;;;46280;0;0;46280;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;64253068;;;;;
13;34;Del Giro;96501450-0;ISAPRE CRUZ BLANCA S A;527;23/10/2018;23/10/2018 14:27:19;;;22420;0;0;22420;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;64253068;;;;;
14;34;Del Giro;96501450-0;ISAPRE CRUZ BLANCA S A;528;23/10/2018;23/10/2018 16:14:55;;;24420;0;0;24420;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;64253068;;;;;
15;34;Del Giro;96504160-5;NUEVA MASVIDA SA;529;23/10/2018;23/10/2018 16:20:11;;;146560;0;0;146560;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;64253068;;;;;
16;61;Del Giro;96501450-0;ISAPRE CRUZ BLANCA S A;29;23/10/2018;23/10/2018 14:28:27;;;22420;0;0;22420;0;0;0;0;0;-;0;0;0;0;34;527;;;0;;0;0;0;0;0;;;;64253068;;;;;
