Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;76099998-9;CAMDEN SERVICIOS SPA;393;02/10/2018;02/10/2018 02:48:27;;;0;1863000;353970;2216970;0;0;0;0;0;-;0;0;0;0;52;359;;;0;;0;2;0;0;0;;;;2929354;;;;;
2;33;Del Giro;76099998-9;CAMDEN SERVICIOS SPA;394;02/10/2018;02/10/2018 02:52:26;;;0;1078500;204915;1283415;0;0;0;0;0;-;0;0;0;0;52;364;;;0;;0;2;0;0;0;;;;2929354;;;;;
3;33;Del Giro;76099998-9;CAMDEN SERVICIOS SPA;395;08/10/2018;08/10/2018 15:47:54;;;0;713730;135609;849339;0;0;0;0;0;-;0;0;0;0;52;365;;;0;;0;2;0;0;0;;;;2929354;;;;;
4;33;Del Giro;76099998-9;CAMDEN SERVICIOS SPA;396;08/10/2018;08/10/2018 15:54:59;;;0;439890;83579;523469;0;0;0;0;0;-;0;0;0;0;52;366;;;0;;0;2;0;0;0;;;;2929354;;;;;
5;33;Del Giro;76099998-9;CAMDEN SERVICIOS SPA;397;08/10/2018;08/10/2018 16:02:11;;;0;93600;17784;111384;0;0;0;0;0;-;0;0;0;0;52;367;;;0;;0;2;0;0;0;;;;2929354;;;;;
6;33;Del Giro;76099998-9;CAMDEN SERVICIOS SPA;398;08/10/2018;08/10/2018 16:05:35;;;0;275000;52250;327250;0;0;0;0;0;-;0;0;0;0;52;369;;;0;;0;2;0;0;0;;;;2929354;;;;;
7;33;Del Giro;76099998-9;CAMDEN SERVICIOS SPA;399;08/10/2018;08/10/2018 16:09:57;;;0;275000;52250;327250;0;0;0;0;0;-;0;0;0;0;52;370;;;0;;0;2;0;0;0;;;;2929354;;;;;
8;33;Del Giro;76099998-9;CAMDEN SERVICIOS SPA;400;08/10/2018;08/10/2018 16:15:23;;;0;436500;82935;519435;0;0;0;0;0;-;0;0;0;0;52;371;;;0;;0;2;0;0;0;;;;2929354;;;;;
9;33;Del Giro;76099998-9;CAMDEN SERVICIOS SPA;402;08/10/2018;08/10/2018 16:19:50;;;0;828000;157320;985320;0;0;0;0;0;-;0;0;0;0;52;372;;;0;;0;2;0;0;0;;;;2929354;;;;;
10;33;Del Giro;76099998-9;CAMDEN SERVICIOS SPA;403;08/10/2018;08/10/2018 16:23:55;;;0;175560;33356;208916;0;0;0;0;0;-;0;0;0;0;52;373;;;0;;0;2;0;0;0;;;;2929354;;;;;
