Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;76160163-6;Laboratorio Natural Fuchslocher SpA;520746;01/10/2018;01/10/2018 15:20:07;03/10/2018 13:09:41;;0;56000;10640;66640;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
2;33;Del Giro;76523971-0;IMP. Y COM. BEBEBIO SPA;520747;01/10/2018;01/10/2018 15:37:27;;;0;112000;21280;133280;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;0;;;;;
3;33;Del Giro;81698900-0;PONT.UNIVERSIDAD CATOLICA DE CHILE;520748;01/10/2018;01/10/2018 15:43:47;;;0;1618088;307437;1925525;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
4;33;Del Giro;78713010-0;ALIMENTOS FUNCIONALES S.P.A.;520753;02/10/2018;01/10/2018 16:40:48;03/10/2018 13:14:30;;0;517176;98263;615439;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
5;33;Del Giro;78713010-0;ALIMENTOS FUNCIONALES S.P.A.;520754;02/10/2018;01/10/2018 16:56:06;03/10/2018 13:15:30;;0;2070522;393399;2463921;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
6;33;Del Giro;78713010-0;ALIMENTOS FUNCIONALES S.P.A.;520755;02/10/2018;01/10/2018 16:59:52;03/10/2018 13:13:37;;0;581823;110546;692369;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
7;33;Del Giro;81094100-6;COOP.AGRI.LECHERA DE LA UNION;520756;02/10/2018;02/10/2018 09:17:34;;;0;5483366;1041840;6525206;0;0;0;0;0;-;0;0;0;0;52;513522;;;0;;0;2;0;0;0;;;;0;;;;;
8;33;Del Giro;84156500-2;ALIMENTOS FRUNA LTDA.;520761;02/10/2018;02/10/2018 10:13:39;;;0;1377846;261791;1639637;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;0;0;0;0;;;;0;;;;;
9;33;Del Giro;81698900-0;PONT.UNIVERSIDAD CATOLICA DE CHILE;520762;02/10/2018;02/10/2018 10:54:18;;;0;495866;94215;590081;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
10;33;Del Giro;78713010-0;ALIMENTOS FUNCIONALES S.P.A.;520763;02/10/2018;02/10/2018 11:26:40;03/10/2018 13:14:58;;0;643320;122231;765551;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;0;;;;;
