Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;96878550-8;GE POWER CONVERSION IDT CHILE S.A.;407;02/10/2018;02/10/2018 12:13:24;;;0;17500051;3325010;20825061;0;0;0;0;0;-;0;0;0;0;52;1529;;;0;;0;2;0;0;0;;;;59402574;;;;;
2;33;Del Giro;96878550-8;GE POWER CONVERSION IDT CHILE S.A.;408;02/10/2018;02/10/2018 12:16:02;;;0;1914631;363780;2278411;0;0;0;0;0;-;0;0;0;0;52;1530;;;0;;0;2;0;0;0;;;;59402574;;;;;
3;33;Del Giro;96878550-8;GE POWER CONVERSION IDT CHILE S.A.;409;02/10/2018;02/10/2018 12:21:32;;;0;2159536;410312;2569848;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;59402574;;;;;
4;33;Del Giro;96659360-1;HONEYWELL CHILE S A;410;05/10/2018;05/10/2018 09:30:00;;;0;907883;172498;1080381;0;0;0;0;0;-;0;0;0;0;52;1531;;;0;;0;2;0;0;0;;;;59402574;;;;;
5;33;Del Giro;96659360-1;HONEYWELL CHILE S A;411;09/10/2018;09/10/2018 09:07:33;16/10/2018 15:25:14;;0;15525377;2949822;18475199;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;59402574;;;;;
6;33;Del Giro;93597000-8;BERMAT  S A;412;09/10/2018;09/10/2018 12:43:15;10/10/2018 10:48:18;;0;4924268;935611;5859879;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;59402574;;;;;
7;33;Del Giro;96659360-1;HONEYWELL CHILE S A;413;24/10/2018;24/10/2018 08:53:54;;;0;628127;119344;747471;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;59402574;;;;;
8;34;Del Giro;93597000-8;BERMAT  S A;6;02/10/2018;02/10/2018 12:43:24;10/10/2018 10:36:39;;1222444;0;0;1222444;0;0;0;0;0;-;0;0;0;0;;;;;0;;0;2;0;0;0;;;;59402574;;;;;
9;56;Del Giro;96878550-8;GE POWER CONVERSION IDT CHILE S.A.;1;09/10/2018;09/10/2018 14:41:54;;;0;172743;32821;205564;0;0;0;0;0;-;0;0;0;0;33;407;;;0;;0;0;0;0;0;;;;59402574;;;;;
10;61;Del Giro;96878550-8;GE POWER CONVERSION IDT CHILE S.A.;23;09/10/2018;09/10/2018 14:29:26;;;0;110857;21063;131920;0;0;0;0;0;-;0;0;0;0;33;408;;;0;;0;0;0;0;0;;;;59402574;;;;;
