 issuer_tax_number|reception_number|debtor_tax_number|debtor_name|reception_date|purchase_order_number|net_amount|iva_amount|total_amount|state|invoice_number
911440008|1014271597|731540008|Jhonny Debtor Receptions|01/10/2018|234|123123|23123|1231232|APROBADO 0|99
911440008|1014271598|731540008|Jhonny Debtor Receptions|01/10/2018|234|123123|23123|1231232|APROBADO 0|99
911440008|1014271599|731540008|Jhonny Debtor Receptions|01/10/2019|234|123123|23123|1231232|APROBADO 1|99
911440008|1014271600|731540008|Jhonny Debtor Receptions|01/10/2019|234|123123|23123|1231232|APROBADO 1|99
911440008|1014271601|731540008|Jhonny Debtor Receptions|01/10/2020|234|123123|23123|1231232|APROBADO 2|99
911440008|1014271602|731540008|Jhonny Debtor Receptions|01/10/2020|234|123123|23123|1231232|APROBADO 2|99
911440008|1014271603|731540008|Jhonny Debtor Receptions|01/10/2021|234|123123|23123|1231232|APROBADO 3|99
911440008|1014271604|731540008|Jhonny Debtor Receptions|01/10/2021|234|123123|23123|1231232|APROBADO 3|99
911440008|1014271605|731540008|Jhonny Debtor Receptions|01/10/2022|234|123123|23123|1231232|APROBADO 4|99
911440008|1014271606|731540008|Jhonny Debtor Receptions|01/10/2022|234|123123|23123|1231232|APROBADO 4|99
911440008|1014271607|731540008|Jhonny Debtor Receptions|01/10/2023|234|123123|23123|1231232|APROBADO 5|99
911440008|1014271608|731540008|Jhonny Debtor Receptions|01/10/2023|234|123123|23123|1231232|APROBADO 5|99
911440008|1014271609|731540008|Jhonny Debtor Receptions|01/10/2024|234|123123|23123|1231232|APROBADO 6|99
911440008|1014271610|731540008|Jhonny Debtor Receptions|01/10/2024|234|123123|23123|1231232|APROBADO 6|99
911440008|1014271611|731540008|Jhonny Debtor Receptions|01/10/2025|234|123123|23123|1231232|APROBADO 7|99
911440008|1014271612|731540008|Jhonny Debtor Receptions|01/10/2025|234|123123|23123|1231232|APROBADO 7|99
911440008|1014271613|731540008|Jhonny Debtor Receptions|01/10/2026|234|123123|23123|1231232|APROBADO 8|99
911440008|1014271614|731540008|Jhonny Debtor Receptions|01/10/2026|234|123123|23123|1231232|APROBADO 8|99
911440008|1014271615|731540008|Jhonny Debtor Receptions|01/10/2027|234|123123|23123|1231232|APROBADO 9|99
911440008|1014271616|731540008|Jhonny Debtor Receptions|01/10/2027|234|123123|23123|1231232|APROBADO 9|99
911440008|1014271617|731540008|Jhonny Debtor Receptions|01/10/2028|234|123123|23123|1231232|APROBADO 10|99
911440008|1014271618|731540008|Jhonny Debtor Receptions|01/10/2028|234|123123|23123|1231232|APROBADO 10|99
911440008|1014271619|731540008|Jhonny Debtor Receptions|01/10/2029|234|123123|23123|1231232|APROBADO 11|99
911440008|1014271620|731540008|Jhonny Debtor Receptions|01/10/2029|234|123123|23123|1231232|APROBADO 11|99
911440008|1014271621|731540008|Jhonny Debtor Receptions|01/10/2030|234|123123|23123|1231232|APROBADO 12|99
911440008|1014271622|731540008|Jhonny Debtor Receptions|01/10/2030|234|123123|23123|1231232|APROBADO 12|99
911440008|1014271623|731540008|Jhonny Debtor Receptions|01/10/2031|234|123123|23123|1231232|APROBADO 13|99
911440008|1014271624|731540008|Jhonny Debtor Receptions|01/10/2031|234|123123|23123|1231232|APROBADO 13|99
911440008|1014271625|731540008|Jhonny Debtor Receptions|01/10/2032|234|123123|23123|1231232|APROBADO 14|99
911440008|1014271626|731540008|Jhonny Debtor Receptions|01/10/2032|234|123123|23123|1231232|APROBADO 14|99
911440008|1014271627|731540008|Jhonny Debtor Receptions|01/10/2033|234|123123|23123|1231232|APROBADO 15|99
911440008|1014271628|731540008|Jhonny Debtor Receptions|01/10/2033|234|123123|23123|1231232|APROBADO 15|99
911440008|1014271629|731540008|Jhonny Debtor Receptions|01/10/2034|234|123123|23123|1231232|APROBADO 16|99
911440008|1014271630|731540008|Jhonny Debtor Receptions|01/10/2034|234|123123|23123|1231232|APROBADO 16|99
911440008|1014271631|731540008|Jhonny Debtor Receptions|01/10/2035|234|123123|23123|1231232|APROBADO 17|99
911440008|1014271632|731540008|Jhonny Debtor Receptions|01/10/2035|234|123123|23123|1231232|APROBADO 17|99
911440008|1014271633|731540008|Jhonny Debtor Receptions|01/10/2036|234|123123|23123|1231232|APROBADO 18|99
911440008|1014271634|731540008|Jhonny Debtor Receptions|01/10/2036|234|123123|23123|1231232|APROBADO 18|99
911440008|1014271635|731540008|Jhonny Debtor Receptions|01/10/2037|234|123123|23123|1231232|APROBADO 19|99
911440008|1014271636|731540008|Jhonny Debtor Receptions|01/10/2037|234|123123|23123|1231232|APROBADO 19|99
911440008|1014271637|731540008|Jhonny Debtor Receptions|01/10/2038|234|123123|23123|1231232|APROBADO 20|99
911440008|1014271638|731540008|Jhonny Debtor Receptions|01/10/2038|234|123123|23123|1231232|APROBADO 20|99
