 issuer_tax_number|reception_number|debtor_tax_number|debtor_name|reception_date|purchase_order_number|net_amount|iva_amount|total_amount|state|invoice_number
911440008k|C45A|2828|Jhonny Debtor Receptions|01/10/2018|234|123123|23123|1231232|APROBADO 0|99
911440008|C45B|2828k|Jhonny Debtor Receptions|01/10/2018|234|123123|23123|1231232|APROBADO 0|99
911440008-K|C45C|2828|Jhonny Debtor Receptions|01/10/2018|234|123123|23123|1231232|APROBADO 0|99
911440008|C45D|2828-k|Jhonny Debtor Receptions|01/10/2018|234|123123|23123|1231232|APROBADO 0|99
911440008-K|C45E|2828|Jhonny Debtor Receptions|01/10/2018|234|123123|23123|1231232|APROBADO 0|99
911440008|C45F|2828-K|Jhonny Debtor Receptions|01/10/2018|234|123123|23123|1231232|APROBADO 0|99
911440008-z|C45G|2828|Jhonny Debtor Receptions|01/10/2018|234|123123|23123|1231232|APROBADO 0|99
911440008|C45H|2828-Z|Jhonny Debtor Receptions|01/10/2018|234|123123|23123|1231232|APROBADO 0|99
911440008-z|C45I|2828|Jhonny Debtor Receptions|01/10/2018|234|123123|23123|1231232|APROBADO 0|99
911440008|C45J|2828-z|Jhonny Debtor Receptions|01/10/2018|234|123123|23123|1231232|APROBADO 0|99
911440008z|C45K|2828|Jhonny Debtor Receptions|01/10/2019|235|123124|23124|1231233|APROBADO 1|100
911440008|C45L|2828z|Jhonny Debtor Receptions|01/10/2020|236|123125|23125|1231234|APROBADO 2|101
911440008|C45M|2828|Jhonny Debtor Receptions|01/10/2021|237|123126|23126|1231235|APROBADO 3|102
911440008|C45N|2828|Jhonny Debtor Receptions|01/10/2022|238|123127|23127|1231236|APROBADO 4|103
